"","Iwamoto_BipolarEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_BipolarSamplingVariance","GeneSymbol"
"1",0.018297876,"10","NAT2",0.00977705807954002,"NAT2"
"2",-0.107721938,"100","ADA",0.0063731477904586,"ADA"
"3",0.048773533,"1000","CDH2",0.0068745296996569,"CDH2"
"4",-0.014443114,"10000","AKT3",0.00796212641584034,"AKT3"
"5",0.055046196,"10001","MED6",0.00463711341237596,"MED6"
"6",-0.028234384,"10002","NR2E3",0.00774035714803286,"NR2E3"
"7",-0.043933265,"10003","NAALAD2",0.00514551367341463,"NAALAD2"
"8",0.015230163,"10004","NAALADL1",0.00652630334597961,"NAALADL1"
"9",-0.094837729,"10005","ACOT8",0.00817143396875558,"ACOT8"
"10",0.209784871,"10006","ABI1",0.0148749378109064,"ABI1"
"11",-0.059154539,"10007","GNPDA1",0.00499861833299235,"GNPDA1"
"12",0.117485529,"10009","ZBTB33",0.00675457259719569,"ZBTB33"
"13",0.023179427,"1001","CDH3",0.0041461978810916,"CDH3"
"14",0.049129317,"10010","TANK",0.00803649918576824,"TANK"
"15",0.028404063,"100128124","HGC6.3",0.00994437742703543,"HGC6.3"
"16",0.026811404,"100129271","C1orf68",0.0063020714890294,"C1orf68"
"17",0.089634384,"100129361","SMIM10L1",0.0128040065090537,"SMIM10L1"
"18",-0.029154424,"100129528","MUC8",0.0144235118640657,"MUC8"
"19",-0.04557228,"100129973","CERNA1",0.00319035721088408,"CERNA1"
"20",0.119172016,"100129991","RPL38P2",0.0202684144600722,"RPL38P2"
"21",-0.03094953,"10013","HDAC6",0.00437743214458291,"HDAC6"
"22",-0.053691827,"100130418","CECR7",0.0230129068573601,"CECR7"
"23",0.076635119,"100130449","LOC100130449",0.0180882953047823,"LOC100130449"
"24",0.147421104,"100130624","RPL15P22",0.00989213884307804,"RPL15P22"
"25",-0.02938847,"100131755","ARMCX4",0.00506131039168754,"ARMCX4"
"26",0.008153736,"100131825","CADM3-AS1",0.00702729649737288,"CADM3-AS1"
"27",-0.091798812,"100133941","CD24",0.0145256952395664,"CD24"
"28",-0.165249378,"10014","HDAC5",0.00599180617615032,"HDAC5"
"29",-0.034619808,"10016","PDCD6",0.00940842658595877,"PDCD6"
"30",0.030452019,"10018","BCL2L11",0.00286479383213251,"BCL2L11"
"31",0.10593185,"10019","SH2B3",0.00959473000895689,"SH2B3"
"32",-0.051843793,"1002","CDH4",0.00349043306506221,"CDH4"
"33",-0.121748717,"10020","GNE",0.00763579336342843,"GNE"
"34",0.029995567,"10021","HCN4",0.00468345570641419,"HCN4"
"35",-0.043994944,"10024","TROAP",0.00640417615248642,"TROAP"
"36",-0.019454377,"10026","PIGK",0.00291027379672751,"PIGK"
"37",0.116576291,"100271348","RPLP2P5",0.0213267574121956,"RPLP2P5"
"38",0.061151396,"100272147","CMC4",0.00661123335431689,"CMC4"
"39",-0.02337443,"100287387","LOC100287387",0.00406304255576144,"LOC100287387"
"40",0.019207399,"100289191","HMGN3P1",0.00763257754983895,"HMGN3P1"
"41",-0.034550633,"1003","CDH5",0.00539156071789282,"CDH5"
"42",0.021242559,"100310838","VDAC1P3",0.00447006077089478,"VDAC1P3"
"43",-0.03441476,"100316904","SAP25",0.0180659105550542,"SAP25"
"44",0.04341211,"10036","CHAF1A",0.00452938324641711,"CHAF1A"
"45",-0.009100543,"10038","PARP2",0.00847814890513883,"PARP2"
"46",-0.069130422,"10039","PARP3",0.00284680330776512,"PARP3"
"47",-0.055296532,"1004","CDH6",0.00354703501095896,"CDH6"
"48",-0.044637905,"10040","TOM1L1",0.00753556036871206,"TOM1L1"
"49",0.109961054,"100419764","GARS1P1",0.0112506051246875,"GARS1P1"
"50",0.017878199,"10042","HMGXB4",0.0053578372096055,"HMGXB4"
"51",0.024527191,"100422486","KRR1P1",0.0148385593234792,"KRR1P1"
"52",-0.036020333,"10043","TOM1",0.0100807480122391,"TOM1"
"53",0.042096175,"10046","MAMLD1",0.00877853023894744,"MAMLD1"
"54",0.114007743,"10048","RANBP9",0.00815497276309985,"RANBP9"
"55",-0.01548181,"10049","DNAJB6",0.00429769394647921,"DNAJB6"
"56",0.152737985,"100499177","THAP9-AS1",0.0069234580835448,"THAP9-AS1"
