"","Iwamoto_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizSamplingVariance","GeneSymbol"
"1",-0.109523093,"10","NAT2",0.00848135704688473,"NAT2"
"2",-0.087333403,"100","ADA",0.00552854871922647,"ADA"
"3",0.09593774,"1000","CDH2",0.00596348517497468,"CDH2"
"4",0.146486992,"10000","AKT3",0.00690694853562243,"AKT3"
"5",0.03689159,"10001","MED6",0.00402258165976945,"MED6"
"6",-0.098681101,"10002","NR2E3",0.00671456915861561,"NR2E3"
"7",0.003839362,"10003","NAALAD2",0.00446360636285696,"NAALAD2"
"8",-0.067907141,"10004","NAALADL1",0.00566140739097825,"NAALADL1"
"9",-0.109844581,"10005","ACOT8",0.0070885176819282,"ACOT8"
"10",0.072347516,"10006","ABI1",0.0129036421383761,"ABI1"
"11",0.065360222,"10007","GNPDA1",0.00433617827349618,"GNPDA1"
"12",-0.08681191,"10009","ZBTB33",0.00585942534347871,"ZBTB33"
"13",0.038461435,"1001","CDH3",0.00359672452904454,"CDH3"
"14",0.065511066,"10010","TANK",0.00697146508151925,"TANK"
"15",-0.122938706,"100128124","HGC6.3",0.00862650245927927,"HGC6.3"
"16",0.083531711,"100129271","C1orf68",0.00546689177855077,"C1orf68"
"17",0.122762083,"100129361","SMIM10L1",0.0111071602470249,"SMIM10L1"
"18",-0.054746494,"100129528","MUC8",0.0125120412494138,"MUC8"
"19",-0.033688594,"100129973","CERNA1",0.00276755629274979,"CERNA1"
"20",0.106810821,"100129991","RPL38P2",0.0175823502746544,"RPL38P2"
"21",-0.080138036,"10013","HDAC6",0.00379731455665696,"HDAC6"
"22",-0.053776431,"100130418","CECR7",0.0199631298245447,"CECR7"
"23",-0.1804276,"100130449","LOC100130449",0.0156911506100582,"LOC100130449"
"24",0.122827779,"100130624","RPL15P22",0.00858118677448311,"RPL15P22"
"25",0.057912034,"100131755","ARMCX4",0.0043905620901282,"ARMCX4"
"26",0.036734435,"100131825","CADM3-AS1",0.00609600660890682,"CADM3-AS1"
"27",-0.125106972,"100133941","CD24",0.0126006828105897,"CD24"
"28",-0.00902115,"10014","HDAC5",0.00519774426235696,"HDAC5"
"29",0.077413272,"10016","PDCD6",0.008161578306659,"PDCD6"
"30",-0.014078139,"10018","BCL2L11",0.00248513808124703,"BCL2L11"
"31",0.167130524,"10019","SH2B3",0.00832319193691967,"SH2B3"
"32",0.029448044,"1002","CDH4",0.00302786470451626,"CDH4"
"33",0.076249072,"10020","GNE",0.00662386265117863,"GNE"
"34",0.05097909,"10021","HCN4",0.00406278245830336,"HCN4"
"35",0.00952027,"10024","TROAP",0.00555546505896763,"TROAP"
"36",-0.038737408,"10026","PIGK",0.00252459083023061,"PIGK"
"37",-0.037361132,"100271348","RPLP2P5",0.0185004367155847,"RPLP2P5"
"38",0.050844532,"100272147","CMC4",0.00573508208113998,"CMC4"
"39",0.027147977,"100287387","LOC100287387",0.00352458933267592,"LOC100287387"
"40",0.015083761,"100289191","HMGN3P1",0.00662107301210451,"HMGN3P1"
"41",-0.147503079,"1003","CDH5",0.00467704611309402,"CDH5"
"42",-0.103290271,"100310838","VDAC1P3",0.00387766760827251,"VDAC1P3"
"43",-0.089479027,"100316904","SAP25",0.0156717323910699,"SAP25"
"44",0.042384386,"10036","CHAF1A",0.00392912839450461,"CHAF1A"
"45",0.042764016,"10038","PARP2",0.00735458533396788,"PARP2"
"46",-0.00740032,"10039","PARP3",0.00246953174451679,"PARP3"
"47",0.014793214,"1004","CDH6",0.00307696549831265,"CDH6"
"48",-0.151474319,"10040","TOM1L1",0.00653691299728969,"TOM1L1"
"49",0.232234007,"100419764","GARS1P1",0.00975962281084,"GARS1P1"
"50",-0.017691641,"10042","HMGXB4",0.00464779180036197,"HMGXB4"
"51",-0.022493962,"100422486","KRR1P1",0.0128720846966398,"KRR1P1"
"52",-0.079102093,"10043","TOM1",0.00874480058274287,"TOM1"
"53",0.045131949,"10046","MAMLD1",0.00761515874178895,"MAMLD1"
"54",0.0209742,"10048","RANBP9",0.00707423799150877,"RANBP9"
"55",-0.009190504,"10049","DNAJB6",0.00372814363398362,"DNAJB6"
"56",0.211247035,"100499177","THAP9-AS1",0.00600592934275033,"THAP9-AS1"
"57",-0.009348052,"10050","SLC17A4",0.00470029830027962,"SLC17A4"
"58",0.032951222,"100505761","RPARP-AS1",0.00624879897795938,"RPARP-AS1"
"59",0.039799631,"100505879","KIF25-AS1",0.00677016566248018,"KIF25-AS1"
"60",-0.050569128,"100505933","ADD3-AS1",0.00763462697417122,"ADD3-AS1"
"61",-0.008029441,"100506603","VASH1-AS1",0.00269100614494244,"VASH1-AS1"
"62",0.011010413,"100506866","TTN-AS1",0.00512684945248642,"TTN-AS1"
"63",0.079494029,"100506963","ELOA-AS1",0.00317847888855828,"ELOA-AS1"
"64",-0.004839737,"100507331","ZSWIM8-AS1",0.00715548733720175,"ZSWIM8-AS1"
"65",-0.001178915,"100507436","MICA",0.00407499235043283,"MICA"
"66",-0.00748247,"100507605","LINC00837",0.00572842461180031,"LINC00837"
"67",-0.045086022,"10051","SMC4",0.00459745054833946,"SMC4"
"68",-0.078487103,"10052","GJC1",0.0041496176357986,"GJC1"
"69",0.082525295,"100532732","MSH5-SAPCD1",0.00977283447606955,"MSH5-SAPCD1"
"70",0.020918005,"10054","UBA2",0.00522684631264368,"UBA2"
"71",0.092592612,"10057","ABCC5",0.00333344713948764,"ABCC5"
"72",-0.008659995,"10058","ABCB6",0.00772440111640099,"ABCB6"
"73",0.109292277,"10059","DNM1L",0.00769661722302793,"DNM1L"
"74",0.000632837,"1006","CDH8",0.00702218471441422,"CDH8"
"75",0.063653424,"10060","ABCC9",0.0027737288026133,"ABCC9"
"76",0.065705311,"10061","ABCF2",0.00569280156190772,"ABCF2"
"77",0.02853612,"10062","NR1H3",0.00331821880774113,"NR1H3"
"78",-0.018087386,"10067","SCAMP3",0.00402017060350736,"SCAMP3"
"79",0.102528769,"10073","SNUPN",0.00540352168253451,"SNUPN"
"80",-0.031060935,"10075","HUWE1",0.00687107781180915,"HUWE1"
"81",-0.109526295,"10076","PTPRU",0.00358191976270867,"PTPRU"
"82",0.086710463,"10079","ATP9A",0.0073619067105722,"ATP9A"
"83",-0.042094392,"10083","USH1C",0.00618716664116467,"USH1C"
"84",-0.04476847,"10084","PQBP1",0.00452038564311629,"PQBP1"
"85",-0.2734743,"10085","EDIL3",0.0078019015044937,"EDIL3"
"86",0.061701263,"100861548","PINK1-AS",0.00537978716675086,"PINK1-AS"
"87",0.126494193,"100861554","LINC00563",0.00700354333926453,"LINC00563"
"88",0.024140146,"100862671","TMEM265",0.0032723091812353,"TMEM265"
"89",-0.028161154,"1009","CDH11",0.0105148222916383,"CDH11"
"90",-0.004224583,"10090","UST",0.0117521086947531,"UST"
"91",0.004952341,"10092","ARPC5",0.0097621802254363,"ARPC5"
"92",-0.06869038,"10093","ARPC4",0.0048750860762018,"ARPC4"
"93",-0.025991164,"10094","ARPC3",0.0173848015115104,"ARPC3"
"94",-0.02605009,"10095","ARPC1B",0.00549171941417125,"ARPC1B"
"95",-0.02861664,"10096","ACTR3",0.0194569380720389,"ACTR3"
"96",-0.016853012,"10097","ACTR2",0.0131189068856617,"ACTR2"
"97",0.133998718,"10098","TSPAN5",0.0268332783582014,"TSPAN5"
"98",0.007429677,"10099","TSPAN3",0.010341060836692,"TSPAN3"
"99",-0.078652241,"100996492","CTXND1",0.00674312097984461,"CTXND1"
"100",0.105905685,"101","ADAM8",0.00420283817511516,"ADAM8"
"101",0.04252642,"1010","CDH12",0.00413105532891484,"CDH12"
"102",-0.006452492,"10100","TSPAN2",0.0069259566363276,"TSPAN2"
"103",0.062515577,"10102","TSFM",0.00196373385000606,"TSFM"
"104",-0.093645586,"10103","TSPAN1",0.00458174741358576,"TSPAN1"
"105",-0.130381982,"10105","PPIF",0.00491767882869932,"PPIF"
"106",0.021771431,"10107","TRIM10",0.005492067006721,"TRIM10"
"107",0.138760282,"10109","ARPC2",0.0041870108582917,"ARPC2"
"108",0.004236159,"10111","RAD50",0.00318818131808864,"RAD50"
"109",-0.029627049,"10114","HIPK3",0.00378278153557431,"HIPK3"
"110",0.104829151,"10116","FEM1B",0.00918872897159322,"FEM1B"
"111",0.162833198,"1012","CDH13",0.0109983596964743,"CDH13"
"112",-0.114081836,"10120","ACTR1B",0.00624018508823964,"ACTR1B"
"113",0.037005318,"10121","ACTR1A",0.00775519371106905,"ACTR1A"
"114",-0.01356282,"10123","ARL4C",0.00737088693481565,"ARL4C"
"115",0.056393774,"10125","RASGRP1",0.0119475634431495,"RASGRP1"
"116",-0.041020517,"10126","DNAL4",0.00482665748946386,"DNAL4"
"117",-0.039807571,"10127","ZNF263",0.00488207734570214,"ZNF263"
"118",0.08835934,"10128","LRPPRC",0.008148369933842,"LRPPRC"
"119",0.048852944,"10129","FRY",0.00411729981625987,"FRY"
"120",0.006973197,"1013","CDH15",0.00457940271234941,"CDH15"
"121",0.047253774,"10130","PDIA6",0.00508169084496639,"PDIA6"
"122",-0.000772448,"10131","TRAP1",0.00736095039783211,"TRAP1"
"123",0.152096153,"10133","OPTN",0.00882607339302965,"OPTN"
"124",-0.053429232,"10134","BCAP31",0.00431538897745847,"BCAP31"
"125",0.048455237,"10135","NAMPT",0.0101092631623525,"NAMPT"
"126",0.050179122,"10137","RBM12",0.00404394182616544,"RBM12"
"127",0.045388486,"10138","YAF2",0.00353267752520258,"YAF2"
"128",0.00565259,"10139","ARFRP1",0.00357342771186987,"ARFRP1"
"129",-0.026076209,"1014","CDH16",0.00815630550335088,"CDH16"
"130",-0.129705493,"10140","TOB1",0.0165093118197708,"TOB1"
"131",0.031518329,"10141","LINC01587",0.00366021701211809,"LINC01587"
"132",-0.006259627,"10142","AKAP9",0.0118360838093537,"AKAP9"
"133",0.048519042,"10144","FAM13A",0.00305639082699825,"FAM13A"
"134",-0.047149348,"10146","G3BP1",0.0109641116809276,"G3BP1"
"135",0.094708663,"10147","SUGP2",0.00437238792029537,"SUGP2"
"136",-0.038105661,"10149","ADGRG2",0.0040641430011733,"ADGRG2"
"137",-0.029429676,"1015","CDH17",0.00396234550758667,"CDH17"
"138",0.004448768,"10150","MBNL2",0.00824160979738073,"MBNL2"
"139",-0.072874261,"10152","ABI2",0.00467719245295517,"ABI2"
"140",0.016395501,"10153","CEBPZ",0.00231269749618623,"CEBPZ"
"141",0.08641662,"10154","PLXNC1",0.0157309509159277,"PLXNC1"
"142",-0.056907138,"10155","TRIM28",0.00449920926840014,"TRIM28"
"143",-0.112811195,"10157","AASS",0.00432506797450956,"AASS"
"144",-0.013989735,"10158","PDZK1IP1",0.00533140370580741,"PDZK1IP1"
"145",0.132758244,"10159","ATP6AP2",0.0202683931530441,"ATP6AP2"
"146",0.260945421,"1016","CDH18",0.0135729047734332,"CDH18"
"147",0.099800202,"10160","FARP1",0.00903484123002802,"FARP1"
"148",0.084434617,"10162","LPCAT3",0.0137650245170702,"LPCAT3"
"149",-0.103650599,"10165","SLC25A13",0.00559967889014244,"SLC25A13"
"150",0.015189917,"1017","CDK2",0.00319608250098515,"CDK2"
"151",-0.06113887,"10174","SORBS3",0.00351754040541723,"SORBS3"
"152",0.174563758,"10175","CNIH1",0.0128821898059768,"CNIH1"
"153",-0.020711597,"10178","TENM1",0.0179489328472849,"TENM1"
"154",0.069080502,"10180","RBM6",0.00775402231834988,"RBM6"
"155",-0.057473153,"10181","RBM5",0.00804594636407178,"RBM5"
"156",-0.050694898,"10184","LHFPL2",0.0100258802949026,"LHFPL2"
"157",-0.063184976,"10188","TNK2",0.00327739332776889,"TNK2"
"158",-0.076930574,"1019","CDK4",0.0028665520596255,"CDK4"
"159",0.078354945,"10190","TXNDC9",0.00553180343012902,"TXNDC9"
"160",0.054598144,"101927446","LOC101927446",0.00469691211337632,"LOC101927446"
"161",-0.079440936,"101928062","CNOT2-DT",0.0157970044287985,"CNOT2-DT"
"162",-0.070261787,"101928378","PTOV1-AS2",0.0065919238063556,"PTOV1-AS2"
"163",0.06037391,"101929524","LOC101929524",0.00587155622717676,"LOC101929524"
"164",0.017436937,"10193","RNF41",0.00854080757762446,"RNF41"
"165",0.018603779,"10195","ALG3",0.0028756513413312,"ALG3"
"166",-0.007275853,"10196","PRMT3",0.00610218906874086,"PRMT3"
"167",0.071984357,"10197","PSME3",0.0028892353243953,"PSME3"
"168",0.032609719,"10198","MPHOSPH9",0.0026150126100917,"MPHOSPH9"
"169",-0.032775585,"10199","MPHOSPH10",0.0028734234604311,"MPHOSPH10"
"170",-0.043011627,"102","ADAM10",0.00279224920579793,"ADAM10"
"171",-0.097092723,"1020","CDK5",0.0102099032950179,"CDK5"
"172",0.086181613,"10200","MPHOSPH6",0.00521945579020274,"MPHOSPH6"
"173",-0.024718037,"10201","NME6",0.00459944644109306,"NME6"
"174",0.039481316,"10202","DHRS2",0.00385176701203301,"DHRS2"
"175",-0.031061029,"10203","CALCRL",0.00690637890913398,"CALCRL"
"176",0.022832375,"10204","NUTF2",0.0077591646401509,"NUTF2"
"177",-0.053738298,"10205","MPZL2",0.00382542052414665,"MPZL2"
"178",0.114892356,"10206","TRIM13",0.0100544907915668,"TRIM13"
"179",0.042802381,"10208","USPL1",0.00317098195065046,"USPL1"
"180",0.164385319,"10209","EIF1",0.00993345283602147,"EIF1"
"181",-0.016387622,"1021","CDK6",0.00321393534482531,"CDK6"
"182",0.00345101,"10210","TOPORS",0.00824205445663223,"TOPORS"
"183",-0.031061141,"10211","FLOT1",0.00271934857453464,"FLOT1"
"184",-0.010294318,"10212","DDX39A",0.0118050360232424,"DDX39A"
"185",0.13646108,"10213","PSMD14",0.0113613133341977,"PSMD14"
"186",0.042581728,"10214","SSX3",0.013895966053116,"SSX3"
"187",-0.441701036,"10215","OLIG2",0.0304923079095268,"OLIG2"
"188",0.009939792,"10216","PRG4",0.00326361508881583,"PRG4"
"189",0.149840421,"10217","CTDSPL",0.00387368481274019,"CTDSPL"
"190",-0.168859856,"10218","ANGPTL7",0.00752836668295793,"ANGPTL7"
"191",0.009884917,"10219","KLRG1",0.00380858576361367,"KLRG1"
"192",-0.01944227,"1022","CDK7",0.0114058387562355,"CDK7"
"193",-0.009331639,"10220","GDF11",0.00570301044569644,"GDF11"
"194",-0.014662893,"10221","TRIB1",0.00606034591183813,"TRIB1"
"195",0.136174368,"10223","GPA33",0.0058578246816744,"GPA33"
"196",0.178170109,"10225","CD96",0.00992437650380655,"CD96"
"197",0.054635295,"10226","PLIN3",0.00842599886000832,"PLIN3"
"198",0.038455251,"10227","MFSD10",0.00370285118221309,"MFSD10"
"199",0.037667216,"10228","STX6",0.00237834443031789,"STX6"
"200",0.106712086,"10229","COQ7",0.00438337883925559,"COQ7"
"201",-0.00494651,"10230","NBR2",0.00840811619720036,"NBR2"
"202",0.113996323,"10231","RCAN2",0.00688528702011189,"RCAN2"
"203",0.028294627,"10232","MSLN",0.00506904226833963,"MSLN"
"204",-0.147824552,"10233","LRRC23",0.00562419267478885,"LRRC23"
"205",-0.120475442,"10234","LRRC17",0.00389552403027803,"LRRC17"
"206",-0.108194944,"10235","RASGRP2",0.00575938641647726,"RASGRP2"
"207",0.174477067,"10236","HNRNPR",0.0107950678918295,"HNRNPR"
"208",0.037676719,"10237","SLC35B1",0.00252262712351589,"SLC35B1"
"209",0.011975205,"10238","DCAF7",0.00323714867446862,"DCAF7"
"210",0.047507039,"1024","CDK8",0.0036420558454907,"CDK8"
"211",0.083586206,"10240","MRPS31",0.00614316590960908,"MRPS31"
"212",0.140584242,"10241","CALCOCO2",0.0136333706060561,"CALCOCO2"
"213",0.006364339,"10244","RABEPK",0.00793149947223189,"RABEPK"
"214",-0.037142922,"10245","TIMM17B",0.00424228676383267,"TIMM17B"
"215",-0.026213538,"10246","SLC17A2",0.00461426568160506,"SLC17A2"
"216",0.030577178,"10247","RIDA",0.00973926002558671,"RIDA"
"217",0.020675353,"10248","POP7",0.0140241090763314,"POP7"
"218",0.037222002,"10249","GLYAT",0.00589403046589426,"GLYAT"
"219",0.0312865,"1025","CDK9",0.00793444304893984,"CDK9"
"220",0.013956326,"10252","SPRY1",0.00536940747979875,"SPRY1"
"221",0.009149841,"10253","SPRY2",0.0169790184934528,"SPRY2"
"222",-0.012492362,"10254","STAM2",0.0058737703268262,"STAM2"
"223",-0.115074978,"10255","HCG9",0.00716244695622761,"HCG9"
"224",-0.013915193,"10256","CNKSR1",0.0030915991317218,"CNKSR1"
"225",0.027759901,"10257","ABCC4",0.00234270815546282,"ABCC4"
"226",0.126603615,"1026","CDKN1A",0.0357606760071341,"CDKN1A"
"227",0.001044765,"10260","DENND4A",0.00397354898169089,"DENND4A"
"228",0.03145785,"10261","IGSF6",0.00263245340109219,"IGSF6"
"229",-0.076374392,"10262","SF3B4",0.0059173326419647,"SF3B4"
"230",-0.12228499,"10263","CDK2AP2",0.00492963989618497,"CDK2AP2"
"231",-0.031846179,"10265","IRX5",0.00540396508522916,"IRX5"
"232",-0.240121321,"10266","RAMP2",0.0074592215042556,"RAMP2"
"233",-0.078366738,"10267","RAMP1",0.0158379151302308,"RAMP1"
"234",0.028944824,"10268","RAMP3",0.00636637146014766,"RAMP3"
"235",0.002280979,"10269","ZMPSTE24",0.00478553740670966,"ZMPSTE24"
"236",0.036598731,"1027","CDKN1B",0.00395748557714099,"CDKN1B"
"237",-0.051543879,"10270","AKAP8",0.00411447027291738,"AKAP8"
"238",-0.055532299,"10272","FSTL3",0.00418461108686062,"FSTL3"
"239",0.20084079,"102724262","LOC102724262",0.0299670594844913,"LOC102724262"
"240",0.024696077,"102724748","LOC102724748",0.00270247145660489,"LOC102724748"
"241",0.005643311,"10274","STAG1",0.00459990437669904,"STAG1"
"242",0.022144576,"10276","NET1",0.00508040540650824,"NET1"
"243",-0.054792029,"10277","UBE4B",0.00189757514648015,"UBE4B"
"244",-0.391613542,"10278","EFS",0.029241276136362,"EFS"
"245",0.093481051,"10279","PRSS16",0.00592699830488313,"PRSS16"
"246",-0.439056984,"1028","CDKN1C",0.0582904184653377,"CDKN1C"
"247",-0.059994417,"10280","SIGMAR1",0.00414666445700482,"SIGMAR1"
"248",-0.008375478,"10281","DSCR4",0.00820447868101966,"DSCR4"
"249",0.031901053,"10282","BET1",0.00617511913308052,"BET1"
"250",0.033684015,"10284","SAP18",0.00611228491008906,"SAP18"
"251",0.060961473,"10285","SMNDC1",0.00592171218182791,"SMNDC1"
