"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizEffectSize","GeneSymbol"
"1",-0.049714504,"1","A1BG",NA,NA
"2",-0.086122799,"10","NAT2",-0.109523093,"NAT2"
"3",0.050646286,"100","ADA",-0.087333403,"ADA"
"4",-0.020315108,"1000","CDH2",0.09593774,"CDH2"
"5",0.082427506,"10000","AKT3",0.146486992,"AKT3"
"6",-0.127004172,"100009676","ZBTB11-AS1",NA,NA
"7",0.117434424,"10001","MED6",0.03689159,"MED6"
"8",-0.037187015,"10002","NR2E3",-0.098681101,"NR2E3"
"9",0.048496388,"10003","NAALAD2",0.003839362,"NAALAD2"
"10",-0.031190818,"100038246","TLX1NB",NA,NA
"11",-0.061463472,"10004","NAALADL1",-0.067907141,"NAALADL1"
"12",-0.019870921,"100048912","CDKN2B-AS1",NA,NA
"13",-0.031645491,"100049716","NINJ2-AS1",NA,NA
"14",0.046274987,"10005","ACOT8",-0.109844581,"ACOT8"
"15",0.072390367,"10006","ABI1",0.072347516,"ABI1"
"16",0.098538853,"10007","GNPDA1",0.065360222,"GNPDA1"
"17",-0.011416401,"10008","KCNE3",NA,NA
"18",0.032177681,"10009","ZBTB33",-0.08681191,"ZBTB33"
"19",0.109718628,"100093630","SNHG8",NA,NA
"20",0.003014761,"100093698","GS1-600G8.3",NA,NA
"21",0.012387486,"1001","CDH3",0.038461435,"CDH3"
"22",0.024714872,"10010","TANK",0.065511066,"TANK"
"23",-0.019015026,"100101467","ZSCAN30",NA,NA
"24",-0.118532612,"100101938","ANKRD26P3",NA,NA
"25",-0.044330296,"10011","SRA1",NA,NA
"26",0.107249899,"100113407","TMEM170B",NA,NA
"27",0.006833901,"100124700","HOTAIR",NA,NA
"28",-0.060655176,"100125288","ZGLP1",NA,NA
"29",-0.034005337,"100126784","LOC100126784",NA,NA
"30",-0.094410578,"100126791","EGOT",NA,NA
"31",-0.067474384,"100126793","GHRLOS",NA,NA
"32",0.000820767,"100127888","SLCO4A1-AS1",NA,NA
"33",-0.02136322,"100127950","HECW1-IT1",NA,NA
"34",-0.095496039,"100127955","LOC100127955",NA,NA
"35",0.022669985,"100127983","C8orf88",NA,NA
"36",0.015360362,"100128011","FAR1P1",NA,NA
"37",-0.039075463,"100128025","WWTR1-AS1",NA,NA
"38",-0.070401152,"100128071","FAM229A",NA,NA
"39",0.120475395,"100128079","LOC100128079",NA,NA
"40",-0.065280525,"100128098","ST8SIA6-AS1",NA,NA
"41",-0.043007828,"100128124","HGC6.3",-0.122938706,"HGC6.3"
"42",0.002158517,"100128126","STAU2-AS1",NA,NA
"43",-0.078459016,"100128139","LINC01233",NA,NA
"44",6.54e-05,"100128164","LOC100128164",NA,NA
"45",0.01346639,"100128176","UST-AS1",NA,NA
"46",-0.115809636,"100128191","TMPO-AS1",NA,NA
"47",-0.004075569,"100128239","LINC02731",NA,NA
"48",-0.03191829,"100128252","ZNF667-AS1",NA,NA
"49",-0.027094413,"100128285","DNM1P35",NA,NA
"50",0.019776399,"100128288","LOC100128288",NA,NA
"51",-0.048960415,"100128292","DLG5-AS1",NA,NA
"52",-0.199939092,"100128325","LOC100128325",NA,NA
"53",-0.023558626,"100128327","TRAPPC3L",NA,NA
"54",-0.052968619,"100128334","LOC100128334",NA,NA
"55",-0.087223447,"100128496","C20orf78",NA,NA
"56",-0.034267339,"100128511","NEBL-AS1",NA,NA
"57",0.267110204,"100128537","MIR29B2CHG",NA,NA
"58",0.038543564,"100128554","LINC02347",NA,NA
"59",0.012594993,"100128590","SLC8A1-AS1",NA,NA
"60",0.031153633,"100128594","TMSB15B-AS1",NA,NA
"61",-0.003565499,"100128640","ACVR2B-AS1",NA,NA
"62",-0.048375392,"100128653","LOC100128653",NA,NA
"63",-0.047530473,"100128731","OST4",NA,NA
"64",-0.126773577,"100128750","RBPMS-AS1",NA,NA
"65",-0.054007215,"100128782","LINC00476",NA,NA
"66",-0.09779349,"100128788","SRRM2-AS1",NA,NA
"67",0.051399713,"100128822","LINC01003",NA,NA
"68",-0.06624916,"100128881","VPS9D1-AS1",NA,NA
"69",-0.021740827,"100128893","GATA6-AS1",NA,NA
"70",-0.103326032,"100128927","ZBTB42",NA,NA
"71",-0.019127717,"100128946","LINC01310",NA,NA
"72",-0.034703188,"100128961","GAPDHP62",NA,NA
"73",-0.009110821,"100128977","MAPT-AS1",NA,NA
"74",0.011091175,"100128988","LOC100128988",NA,NA
"75",-0.013209582,"100128993","LOC100128993",NA,NA
"76",-0.039759038,"100128998","C20orf181",NA,NA
"77",0.019295258,"100129013","ACTR3P2",NA,NA
"78",-0.039988198,"100129034","LOC100129034",NA,NA
"79",-0.032113613,"100129098","LOC100129098",NA,NA
"80",-0.027916518,"100129128","KHDC1L",NA,NA
"81",-0.02429186,"100129129","LOC100129129",NA,NA
"82",-0.060942144,"100129175","LOC100129175",NA,NA
"83",-0.006136967,"100129195","ZSCAN16-AS1",NA,NA
"84",0.017135349,"100129196","MATN1-AS1",NA,NA
"85",-0.047539396,"100129250","SMIM27",NA,NA
"86",0.018702311,"100129271","C1orf68",0.083531711,"C1orf68"
"87",0.016781073,"100129361","SMIM10L1",0.122762083,"SMIM10L1"
"88",-0.080382481,"100129387","GABPB1-AS1",NA,NA
"89",-0.059848242,"100129427","DDC-AS1",NA,NA
"90",-0.075544153,"100129455","LOC100129455",NA,NA
"91",-0.056096277,"100129460","DPY19L1P1",NA,NA
