"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Maycox_SchizSamplingVariance","GeneSymbol"
"1",-0.049714504,"1","A1BG",0.0025091628997307,"A1BG"
"2",-0.086122799,"10","NAT2",0.00496054318966976,"NAT2"
"3",0.050646286,"100","ADA",0.00357926434071668,"ADA"
"4",-0.020315108,"1000","CDH2",0.00183661381965964,"CDH2"
"5",0.082427506,"10000","AKT3",0.00129742117156004,"AKT3"
"6",-0.127004172,"100009676","ZBTB11-AS1",0.00217062317395939,"ZBTB11-AS1"
"7",0.117434424,"10001","MED6",0.00548447005697205,"MED6"
"8",-0.037187015,"10002","NR2E3",0.00177906273444677,"NR2E3"
"9",0.048496388,"10003","NAALAD2",0.00339094439258381,"NAALAD2"
"10",-0.031190818,"100038246","TLX1NB",0.00100910075711041,"TLX1NB"
"11",-0.061463472,"10004","NAALADL1",0.00211515648790306,"NAALADL1"
"12",-0.019870921,"100048912","CDKN2B-AS1",0.00148615308319764,"CDKN2B-AS1"
"13",-0.031645491,"100049716","NINJ2-AS1",0.0011032100354468,"NINJ2-AS1"
"14",0.046274987,"10005","ACOT8",0.00446361353896239,"ACOT8"
"15",0.072390367,"10006","ABI1",0.00578336228271033,"ABI1"
"16",0.098538853,"10007","GNPDA1",0.00194518719364284,"GNPDA1"
"17",-0.011416401,"10008","KCNE3",0.000822256140980652,"KCNE3"
"18",0.032177681,"10009","ZBTB33",0.00158031929963884,"ZBTB33"
"19",0.109718628,"100093630","SNHG8",0.00601385415269099,"SNHG8"
"20",0.003014761,"100093698","GS1-600G8.3",0.00293789272371459,"GS1-600G8.3"
"21",0.012387486,"1001","CDH3",0.00227986372394012,"CDH3"
"22",0.024714872,"10010","TANK",0.00215458316071078,"TANK"
"23",-0.019015026,"100101467","ZSCAN30",0.00179610738919135,"ZSCAN30"
"24",-0.118532612,"100101938","ANKRD26P3",0.00347593957552052,"ANKRD26P3"
"25",-0.044330296,"10011","SRA1",0.00170908871709328,"SRA1"
"26",0.107249899,"100113407","TMEM170B",0.00546629126034636,"TMEM170B"
"27",0.006833901,"100124700","HOTAIR",0.000454486682624745,"HOTAIR"
"28",-0.060655176,"100125288","ZGLP1",0.00277982580609672,"ZGLP1"
"29",-0.034005337,"100126784","LOC100126784",0.00214328126901917,"LOC100126784"
"30",-0.094410578,"100126791","EGOT",0.00436592770334523,"EGOT"
"31",-0.067474384,"100126793","GHRLOS",0.00256779397803416,"GHRLOS"
"32",0.000820767,"100127888","SLCO4A1-AS1",0.00174870106540637,"SLCO4A1-AS1"
"33",-0.02136322,"100127950","HECW1-IT1",0.00100926668470581,"HECW1-IT1"
"34",-0.095496039,"100127955","LOC100127955",0.00255592807261814,"LOC100127955"
"35",0.022669985,"100127983","C8orf88",0.00256023202300751,"C8orf88"
"36",0.015360362,"100128011","FAR1P1",0.00129214195208301,"FAR1P1"
"37",-0.039075463,"100128025","WWTR1-AS1",0.00262966694900679,"WWTR1-AS1"
"38",-0.070401152,"100128071","FAM229A",0.002199388658544,"FAM229A"
"39",0.120475395,"100128079","LOC100128079",0.0279293973277305,"LOC100128079"
"40",-0.065280525,"100128098","ST8SIA6-AS1",0.00362161272823411,"ST8SIA6-AS1"
"41",-0.043007828,"100128124","HGC6.3",0.00329684454664732,"HGC6.3"
"42",0.002158517,"100128126","STAU2-AS1",0.00447956946913363,"STAU2-AS1"
"43",-0.078459016,"100128139","LINC01233",0.00120544698303937,"LINC01233"
"44",6.54e-05,"100128164","LOC100128164",0.00273713455603256,"LOC100128164"
"45",0.01346639,"100128176","UST-AS1",0.000541706751389697,"UST-AS1"
"46",-0.115809636,"100128191","TMPO-AS1",0.00228611967152344,"TMPO-AS1"
"47",-0.004075569,"100128239","LINC02731",0.00295587556675347,"LINC02731"
"48",-0.03191829,"100128252","ZNF667-AS1",0.00578257775151168,"ZNF667-AS1"
"49",-0.027094413,"100128285","DNM1P35",0.00211878843820828,"DNM1P35"
"50",0.019776399,"100128288","LOC100128288",0.000838816949948933,"LOC100128288"
"51",-0.048960415,"100128292","DLG5-AS1",0.00168974832832388,"DLG5-AS1"
"52",-0.199939092,"100128325","LOC100128325",0.00780467477927196,"LOC100128325"
"53",-0.023558626,"100128327","TRAPPC3L",0.00722494790054065,"TRAPPC3L"
"54",-0.052968619,"100128334","LOC100128334",0.00285214875407078,"LOC100128334"
"55",-0.087223447,"100128496","C20orf78",0.00475923840971227,"C20orf78"
"56",-0.034267339,"100128511","NEBL-AS1",0.00272219144265304,"NEBL-AS1"
"57",0.267110204,"100128537","MIR29B2CHG",0.0169203420478476,"MIR29B2CHG"
"58",0.038543564,"100128554","LINC02347",0.00362618238124896,"LINC02347"
"59",0.012594993,"100128590","SLC8A1-AS1",0.00112877670252736,"SLC8A1-AS1"
"60",0.031153633,"100128594","TMSB15B-AS1",0.00325882708110811,"TMSB15B-AS1"
"61",-0.003565499,"100128640","ACVR2B-AS1",0.00242124577887332,"ACVR2B-AS1"
"62",-0.048375392,"100128653","LOC100128653",0.00480813737936079,"LOC100128653"
"63",-0.047530473,"100128731","OST4",0.0024968668637794,"OST4"
"64",-0.126773577,"100128750","RBPMS-AS1",0.00233004181680476,"RBPMS-AS1"
"65",-0.054007215,"100128782","LINC00476",0.00229548059681628,"LINC00476"
"66",-0.09779349,"100128788","SRRM2-AS1",0.00310790742588761,"SRRM2-AS1"
"67",0.051399713,"100128822","LINC01003",0.0125161785813113,"LINC01003"
"68",-0.06624916,"100128881","VPS9D1-AS1",0.0018915600693345,"VPS9D1-AS1"
"69",-0.021740827,"100128893","GATA6-AS1",0.00175378381051888,"GATA6-AS1"
"70",-0.103326032,"100128927","ZBTB42",0.00437431963850561,"ZBTB42"
"71",-0.019127717,"100128946","LINC01310",0.0017538003669232,"LINC01310"
"72",-0.034703188,"100128961","GAPDHP62",0.00351969092182989,"GAPDHP62"
"73",-0.009110821,"100128977","MAPT-AS1",0.00119949427811924,"MAPT-AS1"
"74",0.011091175,"100128988","LOC100128988",0.00225101112604874,"LOC100128988"
"75",-0.013209582,"100128993","LOC100128993",0.00271520653080552,"LOC100128993"
"76",-0.039759038,"100128998","C20orf181",0.00386841881418286,"C20orf181"
"77",0.019295258,"100129013","ACTR3P2",0.000862282707437058,"ACTR3P2"
"78",-0.039988198,"100129034","LOC100129034",0.00222041183713053,"LOC100129034"
"79",-0.032113613,"100129098","LOC100129098",0.00152679070581409,"LOC100129098"
"80",-0.027916518,"100129128","KHDC1L",0.0030005527772438,"KHDC1L"
"81",-0.02429186,"100129129","LOC100129129",0.00416372688564018,"LOC100129129"
"82",-0.060942144,"100129175","LOC100129175",0.00363844465272455,"LOC100129175"
"83",-0.006136967,"100129195","ZSCAN16-AS1",0.00130710496848886,"ZSCAN16-AS1"
"84",0.017135349,"100129196","MATN1-AS1",0.00185586735495257,"MATN1-AS1"
"85",-0.047539396,"100129250","SMIM27",0.000972733862236208,"SMIM27"
"86",0.018702311,"100129271","C1orf68",0.00237687309335865,"C1orf68"
"87",0.016781073,"100129361","SMIM10L1",0.0014873334316722,"SMIM10L1"
"88",-0.080382481,"100129387","GABPB1-AS1",0.00145892697484371,"GABPB1-AS1"
"89",-0.059848242,"100129427","DDC-AS1",0.00209825395084106,"DDC-AS1"
"90",-0.075544153,"100129455","LOC100129455",0.002794219752486,"LOC100129455"
"91",-0.056096277,"100129460","DPY19L1P1",0.00289439046703632,"DPY19L1P1"
"92",-0.026907097,"100129461","LYRM4-AS1",0.00281184146923629,"LYRM4-AS1"
"93",-0.096462582,"100129482","ZNF37BP",0.00260711635686113,"ZNF37BP"
"94",-0.090501303,"100129503","LOC100129503",0.00252050737731179,"LOC100129503"
"95",-0.108038219,"100129516","LINC02012",0.00656396727982993,"LINC02012"
"96",-0.067787987,"100129528","MUC8",0.00291351270186181,"MUC8"
"97",-0.041953721,"100129550","LINC02035",0.00243330580750349,"LINC02035"
"98",-0.095075808,"100129597","LINC00462",0.00427200358736549,"LINC00462"
"99",0.007397147,"100129617","LOC100129617",0.00252805254988783,"LOC100129617"
"100",-0.021604185,"100129620","LOC100129620",0.00140743742783073,"LOC100129620"
"101",-0.019550681,"100129654","TCF24",0.000430869775117251,"TCF24"
"102",0.020966107,"100129662","FGF13-AS1",0.00225694568323524,"FGF13-AS1"
"103",-0.033934498,"100129716","ARRDC3-AS1",0.00200482276140427,"ARRDC3-AS1"
"104",-0.068002189,"100129722","STPG3-AS1",0.00208458346617088,"STPG3-AS1"
"105",-0.016335081,"100129726","LINC01126",0.00231362327127022,"LINC01126"
"106",-0.011984885,"100129792","CCDC152",0.00129302854117342,"CCDC152"
"107",-0.016771849,"100129794","SLC25A21-AS1",0.00105649435531383,"SLC25A21-AS1"
"108",-0.024522419,"100129827","MRVI1-AS1",0.00210815334760795,"MRVI1-AS1"
"109",-0.063176897,"100129845","PCOLCE-AS1",0.00300963239532204,"PCOLCE-AS1"
"110",-0.026951997,"100129858","SCOC-AS1",0.00177687717585139,"SCOC-AS1"
"111",-0.018754966,"100129917","LOC100129917",0.00258678931667171,"LOC100129917"
"112",-0.076250853,"100129930","RPL10P10",0.00206386370194147,"RPL10P10"
"113",-0.139612836,"100129935","LOC100129935",0.00577739358177367,"LOC100129935"
"114",-0.016885233,"100129961","CCNT2-AS1",0.00465250389617271,"CCNT2-AS1"
"115",-0.063540819,"100129969","FAM205C",0.00394070246356879,"FAM205C"
"116",0.031846313,"100129973","CERNA1",0.00434375515563361,"CERNA1"
"117",-0.085768935,"10013","HDAC6",0.00112989648414307,"HDAC6"
"118",-0.040086868,"100130111","LOC100130111",0.00119830126898309,"LOC100130111"
