,b,se,pval,BH_adjPval,EntrezGeneID,GeneSymbol
2864,0.165540786,0.038944318,2.13E-05,0.077815462,27101,CACYBP
6860,-0.148681363,0.035005294,2.16E-05,0.077815462,7923,HSD17B8
6996,-0.123838047,0.030088951,3.86E-05,0.077815462,81605,URM1
6396,-0.22770365,0.055863501,4.58E-05,0.077815462,7075,TIE1
5283,-0.252987522,0.062107061,4.63E-05,0.077815462,56604,TUBB7P
4134,-0.132659062,0.034419027,0.000116091,0.128614332,4316,MMP7
138,0.215475759,0.055950519,0.000117548,0.128614332,1016,CDH18
2035,0.291297806,0.076003794,0.000126758,0.128614332,23089,PEG10
5901,-0.132596498,0.034882116,0.000143954,0.128614332,645224,RPL29P17
5736,0.211863964,0.056005682,0.000155011,0.128614332,6252,RTN1
8343,-0.118217346,0.031607225,0.000183874,0.128614332,9973,CCS
8014,0.123262696,0.032976858,0.000185597,0.128614332,9575,CLOCK
7557,0.259815863,0.069839894,0.000199093,0.128614332,8935,SKAP2
8334,0.124975365,0.034092617,0.000246605,0.134976626,996,CDC27
2634,0.202424081,0.055320059,0.000253059,0.134976626,25966,C2CD2
5175,-0.165778573,0.045477651,0.000267105,0.134976626,55806,HR
6427,-0.164414543,0.045337113,0.000287301,0.134976626,7106,TSPAN4
3683,0.252971417,0.069791122,0.000289305,0.134976626,3708,ITPR1
5535,-0.146564558,0.041054409,0.000356971,0.136499293,5878,RAB5C
2960,0.292755497,0.082121587,0.000363991,0.136499293,2745,GLRX
1318,0.158349071,0.044454924,0.00036802,0.136499293,1602,DACH1
2974,-0.22828189,0.064137399,0.000371897,0.136499293,2771,GNAI2
7858,0.167893696,0.047255609,0.000381032,0.136499293,9353,SLIT2
4446,-0.234832761,0.066211652,0.000390091,0.136499293,4907,NT5E
7641,0.136736629,0.038834159,0.000429858,0.144397808,9061,PAPSS1
2663,0.23649327,0.067957,0.000501334,0.151888548,26033,ATRNL1
557,0.162387347,0.046809734,0.000522218,0.151888548,10745,PHTF1
1818,0.248408276,0.072048495,0.000565188,0.151888548,2254,FGF9
2339,0.221855943,0.065010673,0.000643444,0.151888548,23480,SEC61G
6321,0.195590572,0.057326235,0.000645151,0.151888548,6950,TCP1
6807,-0.254862893,0.074851941,0.000661898,0.151888548,7832,BTG2
8029,0.160300539,0.047106086,0.000666579,0.151888548,9590,AKAP12
4334,0.304040781,0.089484294,0.000679549,0.151888548,4741,NEFM
6095,0.157653974,0.04667229,0.000730437,0.151888548,6647,SOD1
6570,0.204478312,0.060682773,0.0007527,0.151888548,7336,UBE2V2
6019,-0.105934891,0.031453757,0.000757275,0.151888548,6560,SLC12A4
671,0.151105848,0.044904441,0.000765288,0.151888548,10953,TOMM34
3643,0.158223117,0.047105383,0.000782483,0.151888548,3667,IRS1
6598,-0.141431795,0.042211052,0.000806405,0.151888548,7376,NR1H2
3829,0.145374078,0.043429946,0.000815959,0.151888548,3897,L1CAM
1982,0.109853091,0.032867747,0.000830943,0.151888548,23023,TMCC1
701,-0.175077884,0.052405166,0.000835218,0.151888548,10991,SLC38A3
850,0.177768567,0.053257504,0.000844122,0.151888548,1123,CHN1
5980,-0.120110742,0.036045915,0.000861748,0.151888548,6520,SLC3A2
8187,0.144258949,0.043389097,0.000884902,0.151888548,9782,MATR3
6574,-0.103582929,0.031176463,0.000892236,0.151888548,7343,UBTF
7353,0.136994846,0.041318976,0.000914652,0.151888548,8655,DYNLL1
5904,0.27540519,0.083158354,0.000926924,0.151888548,6456,SH3GL2
6105,-0.203967583,0.061632156,0.000934846,0.151888548,6657,SOX2
5310,-0.123548566,0.037468122,0.000975735,0.151888548,56928,SPPL2B
280,-0.134218826,0.040727643,0.000982392,0.151888548,10331,B3GNT3
5222,0.17609724,0.053522517,0.001001331,0.151888548,5602,MAPK10
597,0.160589848,0.048860324,0.001013642,0.151888548,10808,HSPH1
7044,-0.134371423,0.040978189,0.001041401,0.151888548,8242,KDM5C
3480,-0.159854652,0.04876725,0.001045788,0.151888548,3418,IDH2
303,0.212934046,0.064971412,0.001047865,0.151888548,1039,CDR2
3747,-0.172153612,0.052575125,0.00105875,0.151888548,3782,KCNN3
5096,0.166939867,0.051106799,0.001088895,0.151888548,5532,PPP3CB
468,0.188275051,0.057694589,0.001101209,0.151888548,10598,AHSA1
4337,0.271907404,0.083543531,0.001135205,0.151888548,4747,NEFL
1496,-0.338930906,0.104170635,0.001139475,0.151888548,1843,DUSP1
5168,0.269979158,0.082985896,0.001140675,0.151888548,5577,PRKAR2B
5545,0.120044547,0.036930841,0.001151929,0.151888548,5889,RAD51C
2156,-0.091931095,0.028293928,0.001157522,0.151888548,23224,SYNE2
4039,0.169018095,0.052132196,0.0011865,0.153295749,4168,MCF2
6162,0.157374317,0.048683463,0.001226678,0.156085519,6732,SRPK1
6221,-0.199163102,0.061734584,0.001254813,0.15728232,682,BSG
5872,-0.13720132,0.042608152,0.001281584,0.158275611,64285,RHBDF1
2462,-0.133332339,0.041498497,0.00131382,0.159196032,246,ALOX15
1225,-0.166674595,0.051922148,0.00132695,0.159196032,1489,CTF1
1726,-0.15489608,0.048414766,0.001377349,0.162915166,2159,F10
6894,0.10390163,0.032550103,0.001412657,0.164770798,79882,ZC3H14
2159,0.185471522,0.058220329,0.001444126,0.166133895,23229,ARHGEF9
1298,0.111142936,0.034956153,0.001475316,0.167210501,158,ADSL
1781,-0.149166955,0.046967204,0.001493306,0.167210501,2217,FCGRT
7324,0.253287503,0.080075804,0.001561005,0.169385241,8618,CADPS
6872,-0.126387581,0.040007816,0.001582723,0.169385241,79586,CHPF
714,-0.133108219,0.042198871,0.001608794,0.169385241,11012,KLK11
1362,0.156744121,0.049762343,0.00163352,0.169385241,1653,DDX1
2811,-0.151514324,0.048119694,0.001640003,0.169385241,26873,OPLAH
1708,0.172901976,0.054990871,0.001665449,0.169385241,2135,EXTL2
8302,0.167748575,0.053360617,0.001668392,0.169385241,9917,FAM20B
2783,0.343514648,0.10940353,0.001690134,0.169385241,26578,OSTF1
2494,-0.116617627,0.037165506,0.001702257,0.169385241,2535,FZD2
2294,0.136690304,0.043602871,0.001719172,0.169385241,23390,ZDHHC17
1953,0.16303889,0.052064938,0.001739438,0.169385241,22986,SORCS3
3007,-0.136907599,0.043771591,0.001761362,0.169385241,2815,GP9
7828,0.124072999,0.039721024,0.001786469,0.169385241,93081,TEX30
5570,0.178205305,0.057135594,0.001814726,0.169385241,5917,RARS1
7904,0.195407659,0.062652744,0.001815274,0.169385241,9412,MED21
7693,0.187552026,0.060268041,0.001858466,0.170066951,91298,C12orf29
2206,0.128527656,0.041382796,0.0018975,0.170066951,23281,MTUS2
7272,0.187603418,0.06048349,0.001923938,0.170066951,8543,LMO4
8079,0.156216944,0.050438131,0.001953585,0.170066951,9665,MARF1
6431,0.163718194,0.052920652,0.001977078,0.170066951,7110,TMF1
4311,0.184234224,0.059554098,0.0019777,0.170066951,4706,NDUFAB1
4758,-0.10836221,0.035036684,0.001982633,0.170066951,5192,PEX10
7087,-0.101580494,0.032867392,0.001997416,0.170066951,83450,DRC3
8243,0.107936316,0.034952632,0.002014582,0.170066951,9852,EPM2AIP1
2589,0.187318491,0.060762849,0.002050768,0.170066951,25874,MPC2
7339,-0.105179319,0.034145035,0.002067441,0.170066951,8636,SSNA1
708,-0.176000025,0.057254366,0.002112082,0.170066951,11006,LILRB4
1569,0.192026582,0.062488719,0.002119327,0.170066951,1974,EIF4A2
866,-0.105260043,0.034302449,0.002150738,0.170066951,11250,GPR45
5040,0.177737193,0.057956481,0.002164103,0.170066951,5493,PPL
5559,0.13122474,0.042815361,0.002177438,0.170066951,5903,RANBP2
8009,-0.081156317,0.026486183,0.002183258,0.170066951,9567,GTPBP1
3902,-0.203688376,0.066487158,0.002187096,0.170066951,3992,FADS1
4395,0.188725756,0.06177305,0.002249501,0.173314782,4830,NME1
