A,Coef.(Intercept),Coef.DiagnosisFactorBipolar,Coef.DiagnosisFactorDepression,Coef.DiagnosisFactorSchizophrenia,Coef.BrainpH,Coef.RNADegradPerSample,Coef.RateofDeathFactorOn respirator,Coef.RateofDeathFactorPossible anoxia,t.(Intercept),t.DiagnosisFactorBipolar,t.DiagnosisFactorDepression,t.DiagnosisFactorSchizophrenia,t.BrainpH,t.RNADegradPerSample,t.RateofDeathFactorOn respirator,t.RateofDeathFactorPossible anoxia,p.value.(Intercept),p.value.DiagnosisFactorBipolar,p.value.DiagnosisFactorDepression,p.value.DiagnosisFactorSchizophrenia,p.value.BrainpH,p.value.RNADegradPerSample,p.value.RateofDeathFactorOn respirator,p.value.RateofDeathFactorPossible anoxia,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorBipolar,p.value.adj.DiagnosisFactorDepression,p.value.adj.DiagnosisFactorSchizophrenia,p.value.adj.BrainpH,p.value.adj.RNADegradPerSample,p.value.adj.RateofDeathFactorOn respirator,p.value.adj.RateofDeathFactorPossible anoxia,F,F.p.value
2.90555898,4.656364015,0.018297876,-0.018230408,-0.109523093,-0.083858592,-1.454321307,0.000117443,0.076277093,4.069344363,0.185053193,-0.189826064,-1.189249636,-0.494458587,-3.192087476,0.00086983,0.452670672,0.000177715,0.853978391,0.850257585,0.240276339,0.623270752,0.002511064,0.999309633,0.652855056,0.000243299,0.999843863,0.999951772,0.991234928,0.80812558,0.014191743,0.99966035,0.903766162,940.449568,2.00E-49
6.090254524,5.734129585,-0.107721938,-0.02991391,-0.087333403,0.225257867,-1.228961713,-0.002251,0.475294618,6.206862501,-1.349357925,-0.385797802,-1.174558928,1.645089099,-3.341026135,-0.020649496,3.493640602,1.28E-07,0.183644629,0.70137591,0.24604972,0.106580712,0.001636389,0.983612105,0.001044833,2.83E-07,0.999843863,0.999951772,0.991234928,0.306446425,0.010974713,0.999396546,0.097317861,6330.16584,5.97E-69
6.407161183,8.283649542,0.048773533,0.065598286,0.09593774,-0.361732218,0.39743606,0.039980627,-0.191960583,8.63339948,0.588251063,0.814581526,1.242336976,-2.543619511,1.040313626,0.353133662,-1.358572715,2.78E-11,0.559161794,0.419393624,0.22023544,0.014296832,0.303481899,0.725556951,0.180725075,1.32E-10,0.999843863,0.999951772,0.991234928,0.094622452,0.415411192,0.999396546,0.602213383,6492.626154,3.28E-69
6.628198208,5.947391353,-0.014443114,0.083785506,0.146486992,0.001840142,0.743538789,0.015928703,-0.029001008,5.759616922,-0.161862527,0.966758338,1.762608873,0.01202329,1.8084546,0.130730488,-0.190717651,6.09E-07,0.872103449,0.338581271,0.084425928,0.990457595,0.076894133,0.896542851,0.849562907,1.19E-06,0.999843863,0.999951772,0.97241902,0.995168864,0.146408757,0.999396546,0.962929604,5998.793868,2.13E-68
3.446750988,0.751025398,0.055046196,0.098925166,0.03689159,0.260917835,1.243904083,0.01553062,-0.028225905,0.953042749,0.808357459,1.495706877,0.581667684,2.233913543,3.964437261,0.167022876,-0.243229554,0.345412722,0.422931282,0.141371727,0.563552084,0.030252859,0.0002475,0.868063932,0.808879158,0.35279792,0.999843863,0.999951772,0.991234928,0.148162769,0.004085662,0.999396546,0.955096642,2788.31645,1.53E-60
7.940898168,9.524013674,-0.028234384,-0.042788154,-0.098681101,-0.01188864,-1.76680005,-0.102516172,0.086072456,9.354511786,-0.320920758,-0.500733464,-1.204272896,-0.07878402,-4.35838326,-0.853341554,0.574084764,2.47E-12,0.749683872,0.618880489,0.234474799,0.937536719,7.02E-05,0.397770024,0.568630098,1.52E-11,0.999843863,0.999951772,0.991234928,0.971273656,0.002447118,0.999396546,0.867039224,8858.290918,2.12E-72
2.759110762,2.798195511,-0.043933265,0.118554934,0.003839362,0.035730178,-0.349671602,0.056375724,0.114812823,3.37089561,-0.612461944,1.701644469,0.057466683,0.290407122,-1.057948458,0.575557579,0.939222201,0.001499979,0.543165045,0.095386281,0.954415487,0.772774042,0.295451219,0.567642042,0.352387542,0.001830762,0.999843863,0.999951772,0.999083706,0.886740584,0.407418702,0.999396546,0.758781471,1609.039688,6.53E-55
5.18816621,5.392436271,0.015230163,-0.103102337,-0.067907141,0.132182132,-1.160227403,-0.158727258,-0.232927449,5.768103033,0.188525851,-1.314009308,-0.902512541,0.95394992,-3.116936865,-1.438894325,-1.691918213,5.91E-07,0.85127086,0.195179216,0.371357032,0.344958097,0.003104898,0.156764173,0.097239255,1.16E-06,0.999843863,0.999951772,0.991234928,0.591271296,0.016069028,0.999396546,0.475410444,4485.42308,2.04E-65
7.190381528,6.411450371,-0.094837729,-0.045740807,-0.109844581,0.069881394,0.475236994,0.022529179,0.138930123,6.12898789,-1.049136524,-0.520976639,-1.304670747,0.450711745,1.140984166,0.182518647,0.901861,1.68E-07,0.299445529,0.604813213,0.198316199,0.654256322,0.259619552,0.855955626,0.371699517,3.64E-07,0.999843863,0.999951772,0.991234928,0.828085525,0.367429128,0.999396546,0.769868627,6877.927218,8.40E-70
6.15031109,7.945738903,0.209784871,0.147376128,0.072347516,-0.564636833,2.007441776,-0.166238796,-0.588447164,5.629739854,1.720071838,1.244122443,0.636894454,-2.699156578,3.572184595,-0.998195988,-2.831210883,9.56E-07,0.091955652,0.219583579,0.527263665,0.009610205,0.000826364,0.323262806,0.006788967,1.82E-06,0.999843863,0.999951772,0.991234928,0.074706239,0.007549398,0.999396546,0.166339418,2768.217913,1.82E-60
