A,Coef.(Intercept),Coef.DiagnosisFactorBipolar,Coef.DiagnosisFactorDepression,Coef.DiagnosisFactorSchizophrenia,t.(Intercept),t.DiagnosisFactorBipolar,t.DiagnosisFactorDepression,t.DiagnosisFactorSchizophrenia,p.value.(Intercept),p.value.DiagnosisFactorBipolar,p.value.DiagnosisFactorDepression,p.value.DiagnosisFactorSchizophrenia,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorBipolar,p.value.adj.DiagnosisFactorDepression,p.value.adj.DiagnosisFactorSchizophrenia,F,F.p.value
2.90555898,2.926319331,0.033167343,-0.015164882,-0.095080356,43.85969254,0.323343565,-0.147840209,-0.971018102,4.34E-42,0.747760629,0.883053347,0.336134023,4.46E-42,0.999931612,0.999572313,0.999980583,1580.809947,1.15E-52
6.090254524,6.12771044,-0.026797277,-0.052292221,-0.077139333,99.92888776,-0.284245207,-0.554676257,-0.85715894,4.71E-60,0.777376375,0.581546933,0.395377466,9.69E-60,0.999931612,0.999572313,0.999980583,8220.265773,8.36E-71
6.407161183,6.348635295,0.02272731,0.094729915,0.125712688,116.8690672,0.272130298,1.134268871,1.576852139,1.69E-63,0.786623387,0.261998903,0.121028982,4.82E-63,0.999931612,0.999572313,0.999980583,11593.58552,1.35E-74
6.628198208,6.575819317,-0.018969735,0.084633938,0.145895255,118.5549904,-0.222454347,0.992485537,1.792271493,8.19E-64,0.824851001,0.32565855,0.079037639,2.41E-63,0.999931612,0.999572313,0.999980583,11901.27825,6.93E-75
3.446750988,3.417406905,0.045423889,0.079208426,0.007403745,67.26022722,0.581507901,1.014011055,0.099290056,2.25E-51,0.563466337,0.315376517,0.92129824,2.75E-51,0.999931612,0.999572313,0.999980583,3835.287635,2.10E-62
7.940898168,7.979328564,-0.01576642,-0.039855385,-0.100744611,125.0259869,-0.160685505,-0.406191303,-1.075594141,5.54E-65,0.872977558,0.686305837,0.287184083,1.86E-64,0.999931612,0.999572313,0.999980583,12901.39523,8.92E-76
2.759110762,2.736248213,-0.022637158,0.110793077,0.013339411,61.75406632,-0.332308643,1.626418709,0.20513482,1.65E-49,0.741021744,0.110040539,0.838285472,1.89E-49,0.999931612,0.999572313,0.999980583,3232.291014,1.60E-60
5.18816621,5.249239821,-0.034394954,-0.106960533,-0.115290016,94.81770296,-0.404107974,-1.256684448,-1.4189836,6.71E-59,0.687827356,0.214608223,0.162002474,1.26E-58,0.999931612,0.999572313,0.999980583,7319.356994,1.59E-69
7.190381528,7.244489795,-0.070258743,-0.051851282,-0.10478485,131.4391051,-0.829138029,-0.611907749,-1.295412087,4.38E-66,0.410900248,0.543324283,0.201026237,1.67E-65,0.999931612,0.999572313,0.999980583,14183.05147,8.04E-77
6.15031109,6.058925069,0.111819297,0.211946472,0.077529044,65.44115558,0.785564421,1.488988142,0.570574646,8.95E-51,0.435766627,0.142664672,0.570800006,1.07E-50,0.999931612,0.999572313,0.999980583,3677.822608,6.09E-62
8.230469514,8.215427698,-0.068402861,0.050800337,0.072747581,185.8381596,-1.006441771,0.747447994,1.121284808,1.01E-73,0.318966808,0.458234621,0.267432227,1.42E-72,0.999931612,0.999572313,0.999980583,28886.50644,1.13E-84
3.69568745,3.680293297,0.135862871,0.029394006,-0.080624464,69.82935195,1.676741211,0.362763877,-1.042353621,3.42E-52,0.099729045,0.718284304,0.302176531,4.32E-52,0.999931612,0.999572313,0.999980583,4099.224697,3.89E-63
4.107709599,4.097051833,0.030396221,-0.004657547,0.01921253,100.8315553,0.486580017,-0.074557605,0.322182713,2.99E-60,0.628645944,0.940859143,0.748634687,6.24E-60,0.999931612,0.999572313,0.999980583,8516.735035,3.40E-71
2.966413221,2.920368464,0.022729401,0.106546474,0.067707939,52.68050495,0.266691967,1.250146845,0.832232236,4.73E-46,0.790784519,0.216966704,0.409168053,5.03E-46,0.999931612,0.999572313,0.999980583,2386.655085,3.46E-57
7.201754069,7.235145665,0.058758974,-0.088166013,-0.103546335,99.14584287,0.523734406,-0.78584718,-0.966840032,7.02E-60,0.60273777,0.435602433,0.33819848,1.42E-59,0.999931612,0.999572313,0.999980583,8116.793032,1.15E-70
6.914617319,6.907282009,0.003137023,-0.022813689,0.044862217,133.3487139,0.039392085,-0.286475063,0.59013998,2.11E-66,0.968731991,0.77567787,0.557709449,8.38E-66,0.999931612,0.999572313,0.999980583,14849.90465,2.50E-77
7.54783427,7.509027336,0.06494235,0.005646488,0.089528423,100.6386573,0.566133449,0.049223134,0.817588441,3.29E-60,0.57379233,0.960934244,0.417405423,6.86E-60,0.999931612,0.999572313,0.999980583,8527.805676,3.29E-71
4.635597777,4.650764259,-0.012332832,-0.005415468,-0.043314829,53.25491915,-0.091856074,-0.040334909,-0.337959509,2.75E-46,0.927173187,0.967984021,0.73678454,2.94E-46,0.999931612,0.999572313,0.999980583,2348.048532,5.23E-57
3.12038482,3.135139388,-0.00517281,-0.031626901,-0.025610118,80.67845246,-0.086583851,-0.529379363,-0.449060598,2.35E-55,0.931342234,0.598845146,0.655295361,3.51E-55,0.999931612,0.999572313,0.999980583,5373.341599,4.07E-66
9.187977402,9.122380747,0.143009943,0.07670912,0.066378697,100.765509,1.027494747,0.551138025,0.499603061,3.09E-60,0.309048839,0.583951884,0.619508826,6.45E-60,0.999931612,0.999572313,0.999980583,8583.799623,2.79E-71
7.155527842,7.166214216,0.013564425,-0.004851539,-0.048473878,149.9534583,0.184619573,-0.066032218,-0.691141747,5.46E-69,0.854261524,0.94761102,0.492618679,3.11E-68,0.999931612,0.999572313,0.999980583,18682.72005,7.31E-80
6.177986208,6.151086497,-0.049745982,0.205376627,-0.028227042,61.51953838,-0.323615198,1.336047565,-0.192361989,2.00E-49,0.747556153,0.187480315,0.848224577,2.28E-49,0.999931612,0.999572313,0.999980583,3182.299014,2.38E-60
4.496008247,4.496068631,0.125489875,0.022977223,-0.125858253,47.35881938,0.859777927,0.157425523,-0.903321392,9.57E-44,0.393945498,0.875532732,0.370613372,9.94E-44,0.999931612,0.999572313,0.999980583,1869.709802,1.66E-54
6.437080499,6.354619602,0.165066318,0.098752361,0.093926103,96.87141732,1.636719394,0.979181622,0.975629811,2.27E-59,0.107861996,0.332124435,0.333865013,4.44E-59,0.999931612,0.999572313,0.999980583,8025.034527,1.54E-70
3.518352996,3.474023214,0.030913058,0.063008747,0.091026864,72.15936991,0.417649193,0.851276269,1.288315583,6.54E-53,0.677961315,0.398605688,0.203465504,8.53E-53,0.999931612,0.999572313,0.999980583,4451.047825,4.83E-64
3.200165645,3.198558969,0.051838544,-0.094075095,0.041918141,59.99058535,0.632399033,-1.147659542,0.535702184,7.06E-49,0.529958629,0.256478174,0.594499074,7.96E-49,0.999931612,0.999572313,0.999980583,3002.949515,1.03E-59
4.605713044,4.72598271,-0.108497039,-0.279432426,-0.134327631,62.90267381,-0.939300453,-2.419153625,-1.218245997,6.54E-50,0.352015525,0.019172124,0.228750887,7.57E-50,0.999931612,0.999572313,0.999980583,3133.076766,3.53E-60
8.604371719,8.63764485,-0.147583828,-0.027009491,0.019759229,179.2076652,-1.991634675,-0.364491417,0.279334064,6.42E-73,0.051793473,0.717001988,0.781121101,7.54E-72,0.999931612,0.999572313,0.999980583,26558.44907,9.57E-84
8.65422475,8.678026483,-0.058703224,-0.075677619,0.022161743,113.9043372,-0.501176746,-0.646095056,0.198205577,6.22E-63,0.618408758,0.521122114,0.843674235,1.67E-62,0.999931612,0.999572313,0.999980583,10752.83127,9.12E-74
2.881269732,2.878733129,0.051059204,-0.028717483,-0.009148368,84.61910675,0.976226826,-0.549064127,-0.18323284,2.12E-56,0.333572021,0.585363734,0.855343732,3.37E-56,0.999931612,0.999572313,0.999980583,5978.069301,2.72E-67
5.830670759,5.739073998,0.060179102,0.206203704,0.126894397,88.84777556,0.605982532,2.076399263,1.338566161,1.80E-57,0.547221039,0.042928157,0.186664131,3.08E-57,0.999931612,0.999572313,0.999980583,6791.117331,1.07E-68
8.086996831,8.091948637,-0.064552055,0.017256626,0.020973801,224.4475394,-1.164612564,0.311334533,0.396398071,6.94E-78,0.249608747,0.756818705,0.693469421,2.64E-76,0.999931612,0.999572313,0.999980583,41929.90529,8.68E-89
6.803323874,6.843939428,-0.108024391,-0.118419864,0.035393006,115.6003289,-1.186818775,-1.301029484,0.407345592,2.94E-63,0.240812374,0.19911101,0.685463387,8.20E-63,0.999931612,0.999572313,0.999980583,11005.44184,5.06E-74
5.581693473,5.572348776,0.041848711,-0.043982036,0.037746262,111.2794954,0.543586438,-0.571296877,0.513621817,2.03E-62,0.589100618,0.570314117,0.60974033,5.18E-62,0.999931612,0.999572313,0.999980583,10354.27468,2.38E-73
7.163913922,7.169140782,-0.020176568,-0.01436528,0.00912441,138.0860463,-0.25277822,-0.179972627,0.119751278,3.59E-67,0.801458322,0.857889107,0.905151897,1.56E-66,0.999931612,0.999572313,0.999980583,15866.67543,4.65E-78
2.625132851,2.627773432,-0.012057832,0.058240451,-0.049233682,79.05327287,-0.235945025,1.139636467,-1.009222466,6.57E-55,0.814422765,0.25977587,0.317644669,9.52E-55,0.999931612,0.999572313,0.999980583,5198.445733,9.42E-66
9.620983885,9.537329588,0.165993084,0.192587409,0.018333031,101.4045787,1.147969729,1.331889925,0.132818238,2.24E-60,0.256351283,0.188833584,0.894861155,4.73E-60,0.999931612,0.999572313,0.999980583,8720.744788,1.86E-71
6.745927232,6.702940445,0.106038582,0.025038681,0.054422264,126.3882798,1.300513969,0.307087793,0.699214955,3.20E-65,0.199286198,0.760030228,0.487602743,1.10E-64,0.999931612,0.999572313,0.999980583,13483.40503,2.91E-76
3.186693848,3.200458083,-0.021867787,-0.061766377,0.017828002,82.03758857,-0.364598808,-1.029822886,0.311383837,1.01E-55,0.716922302,0.307965089,0.756781445,1.55E-55,0.999931612,0.999572313,0.999980583,5560.793236,1.70E-66
2.34565615,2.317263925,0.006276532,0.110155731,0.01068126,44.05498667,0.077615595,1.362185767,0.138367701,3.48E-42,0.938438338,0.179140978,0.890496137,3.58E-42,0.999931612,0.999572313,0.999980583,1657.817362,3.45E-53
4.90621024,4.943111083,-0.008615044,-0.056222435,-0.087063839,96.1299336,-0.108974639,-0.711176813,-1.153688978,3.35E-59,0.91365136,0.480223235,0.254019693,6.46E-59,0.999931612,0.999572313,0.999980583,7586.674279,6.41E-70
2.762337253,2.824484873,-0.002514598,-0.139570882,-0.118803131,63.26717883,-0.036636793,-2.033497798,-1.813258672,4.89E-50,0.970918007,0.047235053,0.075693871,5.68E-50,0.999931612,0.999572313,0.999980583,3192.151957,2.20E-60
5.504800839,5.488892735,0.024238661,0.072007045,-0.020253657,59.81111577,0.171796953,0.510366098,-0.150381105,8.21E-49,0.864278808,0.612002681,0.881058679,9.23E-49,0.999931612,0.999572313,0.999980583,2998.557623,1.07E-59
6.080707705,6.062268752,0.031787413,0.007398348,0.037761867,145.916714,0.497662262,0.115828196,0.619321234,2.18E-68,0.620866729,0.908244764,0.538468871,1.12E-67,0.999931612,0.999572313,0.999980583,17851.29939,2.32E-79
7.08996623,7.100224554,-0.070337301,0.026102484,-0.00202563,94.8208158,-0.610979971,0.226737374,-0.018432505,6.70E-59,0.543933502,0.821536693,0.985365932,1.26E-58,0.999931612,0.999572313,0.999980583,7471.02333,9.47E-70
6.738907611,6.757873615,-0.069309793,0.010954352,-0.023568486,199.5174599,-1.330990973,0.210361965,-0.474127554,2.75E-75,0.189127156,0.834225549,0.637437888,5.36E-74,0.999931612,0.999572313,0.999980583,32987.37384,3.87E-86
5.086102291,5.106132595,-0.060897857,-0.043516329,0.011310836,134.275278,-1.0416352,-0.74433064,0.202670874,1.48E-66,0.302506377,0.460101325,0.840200763,6.00E-66,0.999931612,0.999572313,0.999980583,14907.72569,2.27E-77
3.570068717,3.61604277,-0.030675462,-0.004485567,-0.147071644,67.43425176,-0.372089802,-0.054409412,-1.868824812,1.98E-51,0.711371661,0.956822115,0.067410409,2.42E-51,0.999931612,0.999572313,0.999980583,3694.814751,5.42E-62
8.227472775,8.206752932,-0.020619176,-0.028984997,0.121664468,80.88146257,-0.132177828,-0.185806358,0.81702258,2.07E-55,0.895365093,0.853335579,0.417725736,3.11E-55,0.999931612,0.999572313,0.999980583,5479.370387,2.48E-66
6.150659868,6.136232577,0.028492532,0.04258508,-0.004653016,138.4983366,0.418295762,0.625186924,-0.07155994,3.08E-67,0.677491632,0.534643119,0.94323274,1.36E-66,0.999931612,0.999572313,0.999980583,16060.23784,3.41E-78
2.838965641,2.848376825,0.03774368,-0.025340123,-0.04669218,37.34100513,0.321841813,-0.21607621,-0.417085766,1.22E-38,0.748891429,0.829792502,0.678370708,1.23E-38,0.999931612,0.999572313,0.999980583,1154.426842,3.14E-49
7.622967295,7.653484895,-0.050632002,-0.041549321,-0.039375801,118.9855349,-0.511999702,-0.42015403,-0.417116147,6.81E-64,0.610867036,0.676142459,0.67834863,2.02E-63,0.999931612,0.999572313,0.999980583,11704.14919,1.06E-74
6.849461011,6.839448132,-0.032220304,0.001717013,0.064321553,98.80186041,-0.30274945,0.016133454,0.633130512,8.37E-60,0.763315428,0.987191039,0.529484713,1.69E-59,0.999931612,0.999572313,0.999980583,8158.885218,1.01E-70
4.002084469,3.981530657,0.088117719,0.017234519,-0.010091081,57.64344742,0.829798791,0.162296339,-0.09954747,5.22E-48,0.410529964,0.871715487,0.921094888,5.77E-48,0.999931612,0.999572313,0.999980583,2797.875415,6.20E-59
5.612627576,5.605137476,0.0299847,0.013731786,-0.008182795,133.0808009,0.463061332,0.212063457,-0.132380333,2.33E-66,0.645295478,0.832904977,0.895205738,9.22E-66,0.999931612,0.999572313,0.999980583,14798.31421,2.73E-77
2.896721577,2.810282511,0.115132799,0.077252838,0.169670099,51.60075292,1.375038278,0.922635513,2.122775323,1.33E-45,0.175145989,0.360552891,0.038660818,1.41E-45,0.999931612,0.999572313,0.999980583,2358.652137,4.67E-57
3.179184703,3.175165329,0.033627393,-0.00252366,-0.010859414,69.03769523,0.475579151,-0.035691144,-0.160886272,6.06E-52,0.63641026,0.971668327,0.87282024,7.58E-52,0.999931612,0.999572313,0.999980583,3982.0025,8.12E-63
4.370743395,4.414169454,-0.104392771,-0.10882913,0.013395226,82.48420585,-1.268825477,-1.322746505,0.170555013,7.69E-56,0.210278854,0.191835743,0.865250259,1.19E-55,0.999931612,0.999572313,0.999980583,5559.617204,1.71E-66
4.19390694,4.21165758,-0.030178174,-0.080394224,0.025289568,74.83779912,-0.348795268,-0.929185595,0.306197767,1.04E-53,0.728682644,0.357181478,0.760703837,1.41E-53,0.999931612,0.999572313,0.999980583,4628.375846,1.79E-64
3.569438292,3.532237118,0.120820786,0.079035165,-0.026027443,59.22163984,1.317594902,0.861907402,-0.297340963,1.35E-48,0.193543071,0.392783564,0.767417141,1.51E-48,0.999931612,0.999572313,0.999980583,2985.346843,1.20E-59
5.984617223,5.976583013,0.023246745,0.022459111,-0.007773377,177.0251975,0.447872041,0.432697475,-0.156886126,1.20E-72,0.656147248,0.667063627,0.875955641,1.35E-71,0.999931612,0.999572313,0.999980583,26185.32497,1.37E-83
2.757695188,2.771130466,-0.072189668,-0.009088842,0.017099977,51.78086711,-0.87739885,-0.110466497,0.217721111,1.12E-45,0.384395277,0.912474112,0.828517433,1.18E-45,0.999931612,0.999572313,0.999980583,2213.076917,2.34E-56
5.977626394,5.968978141,-0.007664803,-0.009059517,0.047413858,133.2797877,-0.111320452,-0.131576703,0.72137695,2.16E-66,0.911800331,0.895838158,0.473980399,8.58E-66,0.999931612,0.999572313,0.999980583,14846.06879,2.52E-77
7.037494363,7.046498714,0.013203348,-0.063254953,0.007719237,118.0609985,0.143888745,-0.689346031,0.088125196,1.01E-63,0.88615686,0.493738229,0.930123198,2.96E-63,0.999931612,0.999572313,0.999980583,11585.86606,1.37E-74
6.014631481,5.968512571,0.109420741,0.059999135,0.034025141,133.9835059,1.597697466,0.876072172,0.520448572,1.66E-66,0.116304476,0.385109197,0.605008989,6.66E-66,0.999931612,0.999572313,0.999980583,15192.4025,1.40E-77
