"","ProbesetID","EntrezGeneID","GeneSymbol"
"1","10_at","10","NAT2"
"2","100_at","100","ADA"
"3","1000_at","1000","CDH2"
"4","10000_at","10000","AKT3"
"5","10001_at","10001","MED6"
"6","10002_at","10002","NR2E3"
"7","10003_at","10003","NAALAD2"
"8","10004_at","10004","NAALADL1"
"9","10005_at","10005","ACOT8"
"10","10006_at","10006","ABI1"
"11","10007_at","10007","GNPDA1"
"12","10009_at","10009","ZBTB33"
"13","1001_at","1001","CDH3"
"14","10010_at","10010","TANK"
"15","100128124_at","100128124","HGC6.3"
"16","100129271_at","100129271","C1orf68"
"17","100129361_at","100129361","SMIM10L1"
"18","100129528_at","100129528","MUC8"
"19","100129973_at","100129973","CERNA1"
"20","100129991_at","100129991","RPL38P2"
"21","10013_at","10013","HDAC6"
"22","100130418_at","100130418","CECR7"
"23","100130449_at","100130449","LOC100130449"
"24","100130624_at","100130624","RPL15P22"
"25","100131755_at","100131755","ARMCX4"
"26","100131825_at","100131825","CADM3-AS1"
"27","100133941_at","100133941","CD24"
"28","10014_at","10014","HDAC5"
"29","10016_at","10016","PDCD6"
"30","10018_at","10018","BCL2L11"
"31","10019_at","10019","SH2B3"
"32","1002_at","1002","CDH4"
"33","10020_at","10020","GNE"
"34","10021_at","10021","HCN4"
"35","10024_at","10024","TROAP"
"36","10026_at","10026","PIGK"
"37","100271348_at","100271348","RPLP2P5"
"38","100272147_at","100272147","CMC4"
"39","100287387_at","100287387","LOC100287387"
"40","100289191_at","100289191","HMGN3P1"
"41","1003_at","1003","CDH5"
"42","100310838_at","100310838","VDAC1P3"
"43","100316904_at","100316904","SAP25"
"44","10036_at","10036","CHAF1A"
"45","10038_at","10038","PARP2"
"46","10039_at","10039","PARP3"
"47","1004_at","1004","CDH6"
"48","10040_at","10040","TOM1L1"
"49","100419764_at","100419764","GARS1P1"
"50","10042_at","10042","HMGXB4"
"51","100422486_at","100422486","KRR1P1"
"52","10043_at","10043","TOM1"
"53","10046_at","10046","MAMLD1"
"54","10048_at","10048","RANBP9"
"55","10049_at","10049","DNAJB6"
"56","100499177_at","100499177","THAP9-AS1"
"57","10050_at","10050","SLC17A4"
"58","100505761_at","100505761","RPARP-AS1"
"59","100505879_at","100505879","KIF25-AS1"
"60","100505933_at","100505933","ADD3-AS1"
"61","100506603_at","100506603","VASH1-AS1"
"62","100506866_at","100506866","TTN-AS1"
"63","100506963_at","100506963","ELOA-AS1"
"64","100507331_at","100507331","ZSWIM8-AS1"
"65","100507436_at","100507436","MICA"
"66","100507605_at","100507605","LINC00837"
"67","10051_at","10051","SMC4"
"68","10052_at","10052","GJC1"
"69","100532732_at","100532732","MSH5-SAPCD1"
"70","10054_at","10054","UBA2"
"71","10057_at","10057","ABCC5"
"72","10058_at","10058","ABCB6"
"73","10059_at","10059","DNM1L"
"74","1006_at","1006","CDH8"
"75","10060_at","10060","ABCC9"
"76","10061_at","10061","ABCF2"
"77","10062_at","10062","NR1H3"
"78","10067_at","10067","SCAMP3"
"79","10073_at","10073","SNUPN"
"80","10075_at","10075","HUWE1"
"81","10076_at","10076","PTPRU"
"82","10079_at","10079","ATP9A"
"83","10083_at","10083","USH1C"
"84","10084_at","10084","PQBP1"
"85","10085_at","10085","EDIL3"
"86","100861548_at","100861548","PINK1-AS"
"87","100861554_at","100861554","LINC00563"
"88","100862671_at","100862671","TMEM265"
"89","1009_at","1009","CDH11"
"90","10090_at","10090","UST"
"91","10092_at","10092","ARPC5"
"92","10093_at","10093","ARPC4"
"93","10094_at","10094","ARPC3"
"94","10095_at","10095","ARPC1B"
"95","10096_at","10096","ACTR3"
"96","10097_at","10097","ACTR2"
"97","10098_at","10098","TSPAN5"
"98","10099_at","10099","TSPAN3"
"99","100996492_at","100996492","CTXND1"
"100","101_at","101","ADAM8"
"101","1010_at","1010","CDH12"
"102","10100_at","10100","TSPAN2"
"103","10102_at","10102","TSFM"
"104","10103_at","10103","TSPAN1"
"105","10105_at","10105","PPIF"
"106","10107_at","10107","TRIM10"
"107","10109_at","10109","ARPC2"
"108","10111_at","10111","RAD50"
"109","10114_at","10114","HIPK3"
"110","10116_at","10116","FEM1B"
"111","1012_at","1012","CDH13"
"112","10120_at","10120","ACTR1B"
"113","10121_at","10121","ACTR1A"
"114","10123_at","10123","ARL4C"
"115","10125_at","10125","RASGRP1"
"116","10126_at","10126","DNAL4"
"117","10127_at","10127","ZNF263"
"118","10128_at","10128","LRPPRC"
"119","10129_at","10129","FRY"
"120","1013_at","1013","CDH15"
"121","10130_at","10130","PDIA6"
"122","10131_at","10131","TRAP1"
"123","10133_at","10133","OPTN"
"124","10134_at","10134","BCAP31"
"125","10135_at","10135","NAMPT"
"126","10137_at","10137","RBM12"
"127","10138_at","10138","YAF2"
"128","10139_at","10139","ARFRP1"
"129","1014_at","1014","CDH16"
"130","10140_at","10140","TOB1"
"131","10141_at","10141","LINC01587"
"132","10142_at","10142","AKAP9"
"133","10144_at","10144","FAM13A"
"134","10146_at","10146","G3BP1"
"135","10147_at","10147","SUGP2"
"136","10149_at","10149","ADGRG2"
"137","1015_at","1015","CDH17"
"138","10150_at","10150","MBNL2"
"139","10152_at","10152","ABI2"
"140","10153_at","10153","CEBPZ"
"141","10154_at","10154","PLXNC1"
"142","10155_at","10155","TRIM28"
"143","10157_at","10157","AASS"
"144","10158_at","10158","PDZK1IP1"
"145","10159_at","10159","ATP6AP2"
"146","1016_at","1016","CDH18"
"147","10160_at","10160","FARP1"
"148","10162_at","10162","LPCAT3"
"149","10165_at","10165","SLC25A13"
"150","1017_at","1017","CDK2"
"151","10174_at","10174","SORBS3"
"152","10175_at","10175","CNIH1"
"153","10178_at","10178","TENM1"
"154","10180_at","10180","RBM6"
"155","10181_at","10181","RBM5"
"156","10184_at","10184","LHFPL2"
"157","10188_at","10188","TNK2"
"158","1019_at","1019","CDK4"
"159","10190_at","10190","TXNDC9"
"160","101927446_at","101927446","LOC101927446"
"161","101928062_at","101928062","CNOT2-DT"
"162","101928378_at","101928378","PTOV1-AS2"
"163","101929524_at","101929524","LOC101929524"
"164","10193_at","10193","RNF41"
"165","10195_at","10195","ALG3"
"166","10196_at","10196","PRMT3"
"167","10197_at","10197","PSME3"
"168","10198_at","10198","MPHOSPH9"
"169","10199_at","10199","MPHOSPH10"
"170","102_at","102","ADAM10"
"171","1020_at","1020","CDK5"
"172","10200_at","10200","MPHOSPH6"
"173","10201_at","10201","NME6"
"174","10202_at","10202","DHRS2"
"175","10203_at","10203","CALCRL"
"176","10204_at","10204","NUTF2"
"177","10205_at","10205","MPZL2"
"178","10206_at","10206","TRIM13"
"179","10208_at","10208","USPL1"
"180","10209_at","10209","EIF1"
"181","1021_at","1021","CDK6"
"182","10210_at","10210","TOPORS"
"183","10211_at","10211","FLOT1"
"184","10212_at","10212","DDX39A"
"185","10213_at","10213","PSMD14"
"186","10214_at","10214","SSX3"
"187","10215_at","10215","OLIG2"
"188","10216_at","10216","PRG4"
"189","10217_at","10217","CTDSPL"
"190","10218_at","10218","ANGPTL7"
"191","10219_at","10219","KLRG1"
"192","1022_at","1022","CDK7"
"193","10220_at","10220","GDF11"
"194","10221_at","10221","TRIB1"
"195","10223_at","10223","GPA33"
"196","10225_at","10225","CD96"
"197","10226_at","10226","PLIN3"
"198","10227_at","10227","MFSD10"
"199","10228_at","10228","STX6"
"200","10229_at","10229","COQ7"
"201","10230_at","10230","NBR2"
"202","10231_at","10231","RCAN2"
"203","10232_at","10232","MSLN"
"204","10233_at","10233","LRRC23"
"205","10234_at","10234","LRRC17"
"206","10235_at","10235","RASGRP2"
"207","10236_at","10236","HNRNPR"
"208","10237_at","10237","SLC35B1"
"209","10238_at","10238","DCAF7"
"210","1024_at","1024","CDK8"
"211","10240_at","10240","MRPS31"
"212","10241_at","10241","CALCOCO2"
"213","10244_at","10244","RABEPK"
"214","10245_at","10245","TIMM17B"
"215","10246_at","10246","SLC17A2"
"216","10247_at","10247","RIDA"
"217","10248_at","10248","POP7"
"218","10249_at","10249","GLYAT"
"219","1025_at","1025","CDK9"
"220","10252_at","10252","SPRY1"
"221","10253_at","10253","SPRY2"
"222","10254_at","10254","STAM2"
"223","10255_at","10255","HCG9"
"224","10256_at","10256","CNKSR1"
"225","10257_at","10257","ABCC4"
"226","1026_at","1026","CDKN1A"
"227","10260_at","10260","DENND4A"
"228","10261_at","10261","IGSF6"
"229","10262_at","10262","SF3B4"
"230","10263_at","10263","CDK2AP2"
"231","10265_at","10265","IRX5"
"232","10266_at","10266","RAMP2"
"233","10267_at","10267","RAMP1"
"234","10268_at","10268","RAMP3"
"235","10269_at","10269","ZMPSTE24"
"236","1027_at","1027","CDKN1B"
"237","10270_at","10270","AKAP8"
"238","10272_at","10272","FSTL3"
"239","102724262_at","102724262","LOC102724262"
"240","102724748_at","102724748","LOC102724748"
"241","10274_at","10274","STAG1"
"242","10276_at","10276","NET1"
"243","10277_at","10277","UBE4B"
"244","10278_at","10278","EFS"
"245","10279_at","10279","PRSS16"
"246","1028_at","1028","CDKN1C"
"247","10280_at","10280","SIGMAR1"
"248","10281_at","10281","DSCR4"
"249","10282_at","10282","BET1"
"250","10284_at","10284","SAP18"
"251","10285_at","10285","SMNDC1"
"252","10286_at","10286","BCAS2"
"253","10287_at","10287","RGS19"
"254","10288_at","10288","LILRB2"
"255","10289_at","10289","EIF1B"
"256","1029_at","1029","CDKN2A"
"257","10290_at","10290","SPEG"
"258","10291_at","10291","SF3A1"
"259","10293_at","10293","TRAIP"
"260","10294_at","10294","DNAJA2"
"261","10295_at","10295","BCKDK"
"262","10296_at","10296","MAEA"
"263","10297_at","10297","APC2"
"264","10298_at","10298","PAK4"
"265","10299_at","10299","MARCHF6"
"266","103_at","103","ADAR"
"267","1030_at","1030","CDKN2B"
"268","10300_at","10300","KATNB1"
"269","10301_at","10301","DLEU1"
"270","10302_at","10302","SNAPC5"
"271","10307_at","10307","APBB3"
"272","10308_at","10308","ZNF267"
"273","10309_at","10309","CCNO"
"274","1031_at","1031","CDKN2C"
"275","10311_at","10311","VPS26C"
"276","10312_at","10312","TCIRG1"
"277","10314_at","10314","LANCL1"
"278","10317_at","10317","B3GALT5"
"279","10318_at","10318","TNIP1"
"280","1032_at","1032","CDKN2D"
"281","10320_at","10320","IKZF1"
"282","10321_at","10321","CRISP3"
"283","10322_at","10322","SMYD5"
"284","10325_at","10325","RRAGB"
"285","10326_at","10326","SIRPB1"
"286","10327_at","10327","AKR1A1"
"287","10329_at","10329","RXYLT1"
"288","1033_at","1033","CDKN3"
"289","10330_at","10330","CNPY2"
"290","10331_at","10331","B3GNT3"
"291","10332_at","10332","CLEC4M"
"292","10333_at","10333","TLR6"
"293","103344931_at","103344931","LOC103344931"
"294","10336_at","10336","PCGF3"
"295","10346_at","10346","TRIM22"
"296","10351_at","10351","ABCA8"
"297","1036_at","1036","CDO1"
"298","10360_at","10360","NPM3"
"299","10362_at","10362","HMG20B"
"300","10367_at","10367","MICU1"
"301","10368_at","10368","CACNG3"
"302","10370_at","10370","CITED2"
