A,Coef.(Intercept),Coef.DiagnosisFactorScz,Coef.BrainpH,t.(Intercept),t.DiagnosisFactorScz,t.BrainpH,p.value.(Intercept),p.value.DiagnosisFactorScz,p.value.BrainpH,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorScz,p.value.adj.BrainpH,F,F.p.value
6.310498508,6.256746398,-0.041339953,0.011986723,12.26583642,-0.874681852,0.152974679,1.19E-16,0.385953569,0.879037517,2.01E-16,0.682511662,0.930655929,35971.68024,6.60E-83
7.092117644,8.298124932,-0.075631906,-0.184641007,10.62696311,-1.045359731,-1.539316112,2.15E-14,0.300913526,0.130069048,2.96E-14,0.615034167,0.283275044,19389.14467,3.06E-76
7.168022655,7.902872677,0.020730212,-0.118120997,11.58359456,0.327939419,-1.127083053,9.92E-16,0.744334752,0.265118619,1.53E-15,0.890185307,0.449950339,25945.44312,2.21E-79
9.585794965,10.50286788,-0.029981675,-0.142718324,23.57490756,-0.726322524,-2.085413992,1.22E-28,0.471047372,0.042186635,3.66E-27,0.738842507,0.134242523,108812.0887,7.49E-95
8.108652691,6.582689678,0.108559031,0.232545743,15.97431449,2.84325837,3.673649284,3.24E-21,0.006463436,0.000585136,1.10E-20,0.20292094,0.007705477,91009.80944,6.35E-93
7.002928421,8.189250157,-0.13252397,-0.17674254,15.79241231,-2.758228819,-2.21878836,5.22E-21,0.008110172,0.031096484,1.70E-20,0.204761657,0.109397485,42867.29847,8.46E-85
7.406024017,4.560912455,0.163937595,0.436807011,4.82485662,1.87172807,3.008103167,1.37E-05,0.067134074,0.004117817,1.42E-05,0.342083703,0.027947512,14429.69139,4.70E-73
5.582834975,6.707028595,-0.045703824,-0.174199056,14.48197194,-1.065078448,-2.44857715,1.82E-19,0.291986578,0.017914055,4.47E-19,0.607225041,0.075853375,34155.55273,2.39E-82
5.460097618,5.975663676,0.031610374,-0.084307067,9.781319767,0.558434782,-0.898350353,3.58E-13,0.57905435,0.373329616,4.56E-13,0.805285427,0.557523759,18774.72737,6.82E-76
6.416057019,6.730326396,-0.017969399,-0.048261135,19.53070913,-0.562790756,-0.911695615,5.73E-25,0.576106938,0.366329177,4.93E-24,0.803518089,0.551097415,81476.4521,9.93E-92
7.109830341,8.340982726,-0.076108539,-0.188583209,16.49619598,-1.624544049,-2.427951785,8.40E-22,0.11058444,0.018847818,3.21E-21,0.411904079,0.078505025,46472.99444,1.14E-85
5.620975447,5.886896622,-0.014410148,-0.040903276,14.04446099,-0.371038199,-0.635253717,6.23E-19,0.712185713,0.528176447,1.41E-18,0.874316599,0.693615806,42266.13354,1.20E-84
6.269894745,6.908765379,-0.027970098,-0.098828179,19.07156661,-0.833319274,-1.775976309,1.63E-24,0.408650906,0.081857797,1.23E-23,0.696059665,0.208444609,70409.19581,3.74E-90
8.486849153,5.966208446,0.08993851,0.391638634,8.25051877,1.342332304,3.52564688,7.13E-11,0.185586808,0.000918195,8.23E-11,0.506015193,0.010283334,32377.84795,9.02E-82
9.514129068,8.521649501,0.110323486,0.147909141,10.17825599,1.422162407,1.150045883,9.46E-14,0.161223739,0.255627704,1.25E-13,0.476596604,0.439652095,30351.37112,4.49E-81
9.22797457,8.225641951,0.090234281,0.151157747,16.22449994,1.920899306,1.940896519,1.69E-21,0.060489057,0.057951836,6.08E-21,0.329754896,0.166665595,77867.2823,3.06E-91
6.004230482,6.46343813,-0.016020915,-0.071378898,20.82359243,-0.557071442,-1.497036355,3.33E-26,0.579978333,0.140706837,4.21E-25,0.805845525,0.297989736,87949.46182,1.49E-92
8.090675857,8.588415763,0.006396281,-0.07936509,19.41127639,0.156027112,-1.16772612,7.51E-25,0.876643564,0.248487755,6.20E-24,0.953576859,0.43166187,78593.48377,2.43E-91
9.214895651,6.269253372,0.168553172,0.452340301,6.912308871,2.005745201,3.246706631,8.46E-09,0.050341594,0.002093338,9.24E-09,0.311436954,0.017723942,24265.48211,1.17E-78
5.529697174,5.742426187,0.008165151,-0.034376262,10.12813802,0.15542823,-0.394696517,1.12E-13,0.877113162,0.694755302,1.47E-13,0.953609169,0.812498102,22356.50734,8.92E-78
7.283520215,7.477892266,0.01598169,-0.032125903,14.85490226,0.342645327,-0.415447731,6.49E-20,0.733309983,0.679602049,1.73E-19,0.884453901,0.801841864,49203.53398,2.75E-86
7.238900717,7.249762172,0.019002488,-0.003316988,14.23064317,0.402571244,-0.042385283,3.68E-19,0.688989683,0.966361353,8.64E-19,0.862747397,0.981207753,47454.57103,6.76E-86
8.232889255,8.514612305,-0.02091388,-0.042859304,18.99657253,-0.503589306,-0.622480763,1.94E-24,0.616774464,0.536470918,1.43E-23,0.824978262,0.699694401,79296.94989,1.95E-91
7.512411466,7.943643505,-0.090200462,-0.060714796,12.48460753,-1.530014092,-0.621183827,6.10E-17,0.132352567,0.53731688,1.06E-16,0.440395514,0.700315946,32765.00785,6.71E-82
8.262340616,8.056008444,-0.034894764,0.035609374,17.72634798,-0.828688167,0.510075127,3.92E-23,0.411242232,0.612256276,2.04E-22,0.697381201,0.755407061,77685.3939,3.24E-91
9.250473238,8.838673967,0.095396302,0.057200583,11.72258042,1.365523457,0.493863595,6.41E-16,0.178236085,0.623577714,1.01E-15,0.497277967,0.763014024,35378.44358,9.97E-83
4.206999475,4.160388256,0.010389855,0.00650877,18.94916769,0.510736971,0.19298594,2.16E-24,0.611796068,0.847756312,1.57E-23,0.82248801,0.910799376,86295.54247,2.38E-92
8.145615341,9.971635838,-0.072651181,-0.283083625,15.48142245,-1.217358945,-2.861077695,1.19E-20,0.229215264,0.006160195,3.63E-20,0.551042119,0.036645357,37592.37718,2.21E-83
6.428861085,5.152733858,-0.001914766,0.202262502,9.962987795,-0.039957579,2.54587873,1.94E-13,0.968286998,0.014048151,2.51E-13,0.98770835,0.064441,36319.67511,5.19E-83
6.182478817,6.7554602,-0.095240146,-0.082740284,9.83041363,-1.495782419,-0.783798291,3.03E-13,0.141032563,0.436877315,3.88E-13,0.451507603,0.615813676,19024.20484,4.91E-76
5.859614824,6.853010638,-0.081131649,-0.150507343,12.51335552,-1.598873841,-1.789041928,5.59E-17,0.116186196,0.079701834,9.80E-17,0.419127187,0.204841536,26907.48412,8.95E-80
7.585893103,6.868190255,0.011556522,0.112692211,15.7755742,0.28648477,1.685028336,5.46E-21,0.775697504,0.09825201,1.77E-20,0.905306564,0.235809442,71357.0364,2.68E-90
4.431372576,4.990781643,-0.027736247,-0.086263419,15.01411024,-0.900555014,-1.689383118,4.20E-20,0.372167281,0.097409573,1.16E-19,0.673942691,0.234504103,41771.3919,1.61E-84
7.471456342,8.675683573,-0.099939886,-0.18231641,15.32026514,-1.904727901,-2.095843208,1.83E-20,0.062609676,0.041209281,5.41E-20,0.33253961,0.132032622,40915.15316,2.69E-84
7.173913063,7.110877316,0.03490274,0.007050033,12.78471803,0.677265577,0.082514372,2.47E-17,0.501377384,0.934569057,4.50E-17,0.759522953,0.964317365,39100.36574,8.31E-84
4.458792802,4.249524404,0.012765865,0.032069292,10.54930316,0.342030792,0.518254727,2.77E-14,0.733769574,0.606579767,3.79E-14,0.884803138,0.751353915,28796.07296,1.66E-80
6.193387989,6.89124406,-0.045604372,-0.106687892,12.83799543,-0.916932966,-1.293853696,2.10E-17,0.363605051,0.20169539,3.87E-17,0.667524484,0.377961392,31289.17501,2.11E-81
7.417202736,9.087502774,-0.114477712,-0.25490718,15.45049236,-2.100633197,-2.821306608,1.29E-20,0.040767057,0.00685601,3.92E-20,0.292120999,0.039551816,37379.91802,2.54E-83
