"","ProbesetID","EntrezGeneID","GeneSymbol"
"1","1_at","1","A1BG"
"2","10_at","10","NAT2"
"3","100_at","100","ADA"
"4","1000_at","1000","CDH2"
"5","10000_at","10000","AKT3"
"6","100009676_at","100009676","ZBTB11-AS1"
"7","10001_at","10001","MED6"
"8","10002_at","10002","NR2E3"
"9","10003_at","10003","NAALAD2"
"10","100038246_at","100038246","TLX1NB"
"11","10004_at","10004","NAALADL1"
"12","100048912_at","100048912","CDKN2B-AS1"
"13","100049716_at","100049716","NINJ2-AS1"
"14","10005_at","10005","ACOT8"
"15","10006_at","10006","ABI1"
"16","10007_at","10007","GNPDA1"
"17","10008_at","10008","KCNE3"
"18","10009_at","10009","ZBTB33"
"19","100093630_at","100093630","SNHG8"
"20","100093698_at","100093698","GS1-600G8.3"
"21","1001_at","1001","CDH3"
"22","10010_at","10010","TANK"
"23","100101467_at","100101467","ZSCAN30"
"24","100101938_at","100101938","ANKRD26P3"
"25","10011_at","10011","SRA1"
"26","100113407_at","100113407","TMEM170B"
"27","100124700_at","100124700","HOTAIR"
"28","100125288_at","100125288","ZGLP1"
"29","100126784_at","100126784","LOC100126784"
"30","100126791_at","100126791","EGOT"
"31","100126793_at","100126793","GHRLOS"
"32","100127888_at","100127888","SLCO4A1-AS1"
"33","100127950_at","100127950","HECW1-IT1"
"34","100127955_at","100127955","LOC100127955"
"35","100127983_at","100127983","C8orf88"
"36","100128011_at","100128011","FAR1P1"
"37","100128025_at","100128025","WWTR1-AS1"
"38","100128071_at","100128071","FAM229A"
"39","100128079_at","100128079","LOC100128079"
"40","100128098_at","100128098","ST8SIA6-AS1"
"41","100128124_at","100128124","HGC6.3"
"42","100128126_at","100128126","STAU2-AS1"
"43","100128139_at","100128139","LINC01233"
"44","100128164_at","100128164","LOC100128164"
"45","100128176_at","100128176","UST-AS1"
"46","100128191_at","100128191","TMPO-AS1"
"47","100128239_at","100128239","LINC02731"
"48","100128252_at","100128252","ZNF667-AS1"
"49","100128285_at","100128285","DNM1P35"
"50","100128288_at","100128288","LOC100128288"
"51","100128292_at","100128292","DLG5-AS1"
"52","100128325_at","100128325","LOC100128325"
"53","100128327_at","100128327","TRAPPC3L"
"54","100128334_at","100128334","LOC100128334"
"55","100128496_at","100128496","C20orf78"
"56","100128511_at","100128511","NEBL-AS1"
"57","100128537_at","100128537","MIR29B2CHG"
"58","100128554_at","100128554","LINC02347"
"59","100128590_at","100128590","SLC8A1-AS1"
"60","100128594_at","100128594","TMSB15B-AS1"
"61","100128640_at","100128640","ACVR2B-AS1"
"62","100128653_at","100128653","LOC100128653"
"63","100128731_at","100128731","OST4"
"64","100128750_at","100128750","RBPMS-AS1"
"65","100128782_at","100128782","LINC00476"
"66","100128788_at","100128788","SRRM2-AS1"
"67","100128822_at","100128822","LINC01003"
"68","100128881_at","100128881","VPS9D1-AS1"
"69","100128893_at","100128893","GATA6-AS1"
"70","100128927_at","100128927","ZBTB42"
"71","100128946_at","100128946","LINC01310"
"72","100128961_at","100128961","GAPDHP62"
"73","100128977_at","100128977","MAPT-AS1"
"74","100128988_at","100128988","LOC100128988"
"75","100128993_at","100128993","LOC100128993"
"76","100128998_at","100128998","C20orf181"
"77","100129013_at","100129013","ACTR3P2"
"78","100129034_at","100129034","LOC100129034"
"79","100129098_at","100129098","LOC100129098"
"80","100129128_at","100129128","KHDC1L"
"81","100129129_at","100129129","LOC100129129"
"82","100129175_at","100129175","LOC100129175"
"83","100129195_at","100129195","ZSCAN16-AS1"
"84","100129196_at","100129196","MATN1-AS1"
"85","100129250_at","100129250","SMIM27"
"86","100129271_at","100129271","C1orf68"
"87","100129361_at","100129361","SMIM10L1"
"88","100129387_at","100129387","GABPB1-AS1"
"89","100129427_at","100129427","DDC-AS1"
"90","100129455_at","100129455","LOC100129455"
"91","100129460_at","100129460","DPY19L1P1"
"92","100129461_at","100129461","LYRM4-AS1"
"93","100129482_at","100129482","ZNF37BP"
"94","100129503_at","100129503","LOC100129503"
"95","100129516_at","100129516","LINC02012"
"96","100129528_at","100129528","MUC8"
"97","100129550_at","100129550","LINC02035"
"98","100129597_at","100129597","LINC00462"
"99","100129617_at","100129617","LOC100129617"
"100","100129620_at","100129620","LOC100129620"
"101","100129654_at","100129654","TCF24"
"102","100129662_at","100129662","FGF13-AS1"
"103","100129716_at","100129716","ARRDC3-AS1"
"104","100129722_at","100129722","STPG3-AS1"
"105","100129726_at","100129726","LINC01126"
"106","100129792_at","100129792","CCDC152"
"107","100129794_at","100129794","SLC25A21-AS1"
"108","100129827_at","100129827","MRVI1-AS1"
"109","100129845_at","100129845","PCOLCE-AS1"
"110","100129858_at","100129858","SCOC-AS1"
"111","100129917_at","100129917","LOC100129917"
"112","100129930_at","100129930","RPL10P10"
"113","100129935_at","100129935","LOC100129935"
"114","100129961_at","100129961","CCNT2-AS1"
"115","100129969_at","100129969","FAM205C"
"116","100129973_at","100129973","CERNA1"
"117","10013_at","10013","HDAC6"
"118","100130111_at","100130111","LOC100130111"
"119","100130155_at","100130155","MIR124-2HG"
"120","100130172_at","100130172","LOC100130172"
"121","100130249_at","100130249","PP2672"
"122","100130264_at","100130264","LOC100130264"
"123","100130268_at","100130268","LOC100130268"
"124","100130275_at","100130275","TFAP2A-AS1"
"125","100130331_at","100130331","LOC100130331"
"126","100130335_at","100130335","NAP1L1P3"
"127","100130357_at","100130357","LOC100130357"
"128","100130417_at","100130417","LINC02593"
"129","100130418_at","100130418","CECR7"
"130","100130449_at","100130449","LOC100130449"
"131","100130452_at","100130452","LOC100130452"
"132","100130460_at","100130460","CAND1.11"
"133","100130476_at","100130476","WAKMAR2"
"134","100130519_at","100130519","TMEM221"
"135","100130522_at","100130522","PARD6G-AS1"
