Gene Symbol,Subject_SampleSize_ANOVA_MLM_DF,Measurements_SampleSize_ANOVA_MLM_DF,DF_Diagnosis_ANOVA_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_ANOVA_MLM_DF,DF_Card (# of Cards-1)_ANOVA_MLM_DF,(Intercept)_ANOVA_MLM_ChiSquareStat,Diagnosis_ANOVA_MLM_ChiSquareStat,Age_ANOVA_MLM_ChiSquareStat,Gender_ANOVA_MLM_ChiSquareStat,pH_ANOVA_MLM_ChiSquareStat,PMI_ANOVA_MLM_ChiSquareStat,Integrity_RIN_ANOVA_MLM_ChiSquareStat,RNA_Concentration_ANOVA_MLM_ChiSquareStat,Card_ANOVA_MLM_ChiSquareStat,(Intercept)_ANOVA_MLM_NominalPval,Diagnosis_ANOVA_MLM_NominalPval,Age_ANOVA_MLM_NominalPval,Gender_ANOVA_MLM_NominalPval,pH_ANOVA_MLM_NominalPval,PMI_ANOVA_MLM_NominalPval,Integrity_RIN_ANOVA_MLM_NominalPval,RNA_Concentration_ANOVA_MLM_NominalPval,Card_ANOVA_MLM_NominalPval,(Intercept)_ANOVA_MLM_FDR,Diagnosis_ANOVA_MLM_FDR,Age_ANOVA_MLM_FDR,Gender_ANOVA_MLM_FDR,pH_ANOVA_MLM_FDR,PMI_ANOVA_MLM_FDR,Integrity_RIN_ANOVA_MLM_FDR,RNA_Concentration_ANOVA_MLM_FDR,Card_ANOVA_MLM_FDR,Subject_SampleSize_PostHocSummary_MLM_DF,Measurements_SampleSize_PostHocSummary_MLM_DF,DF1_EachDiagnosis_PostHocSummary_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_PostHocSummary_MLM_DF,DF_Card (# of Cards-1)_PostHocSummary_MLM_DF,"DF2_SubjectLevel (e.g., Diagnosis): 69 Subjects - 9 DF in Subject Level Var_PostHocSummary_MLM_DF","DF2_SampleLevel (e.g., Card, Intercept): SampleSize-(#Subjects)-(#Cards-1)_PostHocSummary_MLM_DF",(Intercept)_PostHocSummary_MLM_Beta,Diagnosis_BP_PostHocSummary_MLM_Beta,Diagnosis_Schiz_PostHocSummary_MLM_Beta,Age_PostHocSummary_MLM_Beta,Gender_F_PostHocSummary_MLM_Beta,pH_PostHocSummary_MLM_Beta,PMI_PostHocSummary_MLM_Beta,Integrity_RIN_PostHocSummary_MLM_Beta,RNA_Concentration_PostHocSummary_MLM_Beta,(Intercept)_PostHocSummary_MLM_SE,Diagnosis_BP_PostHocSummary_MLM_SE,Diagnosis_Schiz_PostHocSummary_MLM_SE,Age_PostHocSummary_MLM_SE,Gender_F_PostHocSummary_MLM_SE,pH_PostHocSummary_MLM_SE,PMI_PostHocSummary_MLM_SE,Integrity_RIN_PostHocSummary_MLM_SE,RNA_Concentration_PostHocSummary_MLM_SE,(Intercept)_PostHocSummary_MLM_Tstat,Diagnosis_BP_PostHocSummary_MLM_Tstat,Diagnosis_Schiz_PostHocSummary_MLM_Tstat,Age_PostHocSummary_MLM_Tstat,Gender_F_PostHocSummary_MLM_Tstat,pH_PostHocSummary_MLM_Tstat,PMI_PostHocSummary_MLM_Tstat,Integrity_RIN_PostHocSummary_MLM_Tstat,RNA_Concentration_PostHocSummary_MLM_Tstat,(Intercept)_PostHocSummary_MLM_NominalPval,Diagnosis_BP_PostHocSummary_MLM_NominalPval,Diagnosis_Schiz_PostHocSummary_MLM_NominalPval,Age_PostHocSummary_MLM_NominalPval,Gender_F_PostHocSummary_MLM_NominalPval,pH_PostHocSummary_MLM_NominalPval,PMI_PostHocSummary_MLM_NominalPval,Integrity_RIN_PostHocSummary_MLM_NominalPval,RNA_Concentration_PostHocSummary_MLM_NominalPval,(Intercept)_PostHocSummary_MLM_FDR,Diagnosis_BP_PostHocSummary_MLM_FDR,Diagnosis_Schiz_PostHocSummary_MLM_FDR,Age_PostHocSummary_MLM_FDR,Gender_F_PostHocSummary_MLM_FDR,pH_PostHocSummary_MLM_FDR,PMI_PostHocSummary_MLM_FDR,Integrity_RIN_PostHocSummary_MLM_FDR,RNA_Concentration_PostHocSummary_MLM_FDR
ABAT,69,133,2,1,35,1.023,12.804,0.245,0.734,0.194,0.982,0.088,0.935,357.921,3.117E-01,1.66E-03,6.20E-01,3.91E-01,6.60E-01,3.22E-01,7.66E-01,3.34E-01,3.61E-55,3.84E-01,4.95E-02,7.25E-01,7.24E-01,7.96E-01,4.58E-01,8.26E-01,4.67E-01,3.09E-54,69,133,1,1,35,60,29,0.9227,0.1569,0.0837,-0.0007,-0.0532,0.0555,0.0027,0.0105,0.0003,1.11508,0.05445,0.05001,0.00174,0.07586,0.15420,0.00335,0.04332,0.00036,0.828,2.881,1.674,-0.405,-0.701,0.360,0.811,0.243,0.791,4.11E-01,5.50E-03,9.93E-02,6.87E-01,4.86E-01,7.20E-01,4.21E-01,8.09E-01,4.32E-01,4.96E-01,2.03E-01,5.25E-01,7.94E-01,8.96E-01,8.66E-01,5.99E-01,8.63E-01,6.03E-01
ADCY7,69,133,2,1,35,1.349,1.318,31.474,2.438,0.811,2.893,5.776,1.567,281.493,2.454E-01,5.17E-01,2.02E-08,1.18E-01,3.68E-01,8.90E-02,1.62E-02,2.11E-01,2.79E-40,3.20E-01,7.27E-01,2.81E-07,5.71E-01,5.52E-01,1.94E-01,5.14E-02,3.48E-01,1.47E-39,69,133,1,1,35,60,29,-2.0974,0.0905,0.0722,-0.0157,-0.1930,0.2248,-0.0093,-0.1691,-0.0007,2.20718,0.10741,0.09903,0.00343,0.15108,0.30512,0.00666,0.08603,0.00071,-0.950,0.843,0.730,-4.589,-1.277,0.737,-1.391,-1.966,-1.024,3.46E-01,4.03E-01,4.69E-01,2.32E-05,2.06E-01,4.64E-01,1.69E-01,5.39E-02,3.10E-01,4.46E-01,6.99E-01,8.32E-01,2.86E-04,8.42E-01,6.87E-01,3.61E-01,1.64E-01,5.01E-01
ADORA1,69,133,2,1,35,10.503,0.040,8.821,0.105,2.166,0.149,15.537,0.060,152.481,1.192E-03,9.80E-01,2.98E-03,7.46E-01,1.41E-01,7.00E-01,8.09E-05,8.07E-01,1.31E-16,3.23E-03,9.80E-01,8.93E-03,9.03E-01,3.20E-01,8.18E-01,9.98E-04,8.22E-01,1.96E-16,69,133,1,1,35,60,29,-4.3524,0.0000,0.0109,-0.0062,-0.0297,0.2733,-0.0016,0.2057,-0.0001,1.64176,0.08016,0.07364,0.00257,0.11172,0.22703,0.00494,0.06380,0.00053,-2.651,0.000,0.148,-2.430,-0.265,1.204,-0.315,3.224,-0.200,1.02E-02,1.00E+00,8.83E-01,1.81E-02,7.92E-01,2.33E-01,7.54E-01,2.04E-03,8.42E-01,2.47E-02,1.00E+00,9.33E-01,5.30E-02,9.48E-01,5.08E-01,8.71E-01,2.27E-02,8.57E-01
ADORA2A,69,133,2,1,35,1.047,0.790,11.118,2.534,0.203,0.377,5.732,0.686,158.380,3.062E-01,6.74E-01,8.55E-04,1.11E-01,6.53E-01,5.39E-01,1.67E-02,4.08E-01,1.27E-17,3.82E-01,8.27E-01,2.97E-03,5.69E-01,7.96E-01,6.58E-01,5.14E-02,5.30E-01,2.10E-17,69,133,1,1,35,60,29,-1.8487,-0.0408,-0.0716,-0.0093,-0.1972,-0.1124,-0.0034,-0.1687,-0.0005,2.20859,0.10732,0.09911,0.00342,0.15147,0.30524,0.00667,0.08616,0.00071,-0.837,-0.380,-0.722,-2.728,-1.302,-0.368,-0.502,-1.958,-0.677,4.06E-01,7.05E-01,4.73E-01,8.36E-03,1.98E-01,7.14E-01,6.17E-01,5.48E-02,5.01E-01,4.95E-01,9.21E-01,8.32E-01,2.73E-02,8.42E-01,8.66E-01,7.53E-01,1.64E-01,6.31E-01
ALDH5A1,69,133,2,1,35,0.892,3.620,0.024,0.353,0.019,0.227,0.724,19.348,383.871,3.450E-01,1.64E-01,8.76E-01,5.53E-01,8.89E-01,6.34E-01,3.95E-01,1.09E-05,2.64E-60,4.12E-01,4.37E-01,9.17E-01,8.51E-01,9.45E-01,7.65E-01,5.47E-01,4.03E-04,3.26E-59,69,133,1,1,35,60,29,-0.6976,0.0631,0.0467,0.0002,0.0299,-0.0142,0.0011,-0.0244,0.0011,0.90304,0.04409,0.04050,0.00141,0.06145,0.12488,0.00272,0.03509,0.00029,-0.773,1.431,1.154,0.128,0.486,-0.114,0.390,-0.696,3.598,4.43E-01,1.58E-01,2.53E-01,8.99E-01,6.29E-01,9.10E-01,6.98E-01,4.89E-01,6.50E-04,5.29E-01,5.99E-01,7.81E-01,9.41E-01,9.29E-01,9.55E-01,8.42E-01,6.68E-01,1.80E-02
SST,69,133,2,1,35,2.718,12.212,16.033,5.139,2.012,0.109,4.231,0.983,106.262,9.923E-02,2.23E-03,6.23E-05,2.34E-02,1.56E-01,7.42E-01,3.97E-02,3.21E-01,4.15E-09,1.43E-01,4.95E-02,3.17E-04,3.71E-01,3.33E-01,8.39E-01,1.05E-01,4.57E-01,4.95E-09,69,133,1,1,35,60,29,-5.0150,-0.3078,-0.4670,-0.0188,-0.4733,0.5963,-0.0030,0.2442,0.0010,3.71860,0.18056,0.16687,0.00575,0.25522,0.51387,0.01123,0.14512,0.00119,-1.349,-1.704,-2.798,-3.275,-1.854,1.160,-0.270,1.683,0.811,1.83E-01,9.35E-02,6.89E-03,1.76E-03,6.86E-02,2.51E-01,7.88E-01,9.77E-02,4.20E-01,2.60E-01,5.99E-01,3.35E-01,8.15E-03,8.42E-01,5.15E-01,8.88E-01,2.52E-01,5.98E-01
PVALB,69,133,2,1,35,18.751,3.061,0.554,1.165,6.891,3.176,8.646,1.174,143.904,1.489E-05,2.16E-01,4.57E-01,2.80E-01,8.66E-03,7.47E-02,3.28E-03,2.79E-01,3.73E-15,1.10E-04,4.91E-01,5.76E-01,6.68E-01,6.87E-02,1.73E-01,1.76E-02,4.19E-01,5.37E-15,69,133,1,1,35,60,29,-7.2237,-0.0794,-0.1293,0.0019,-0.1232,0.6054,0.0090,0.1912,-0.0006,2.03927,0.09926,0.09150,0.00317,0.13955,0.28192,0.00615,0.07948,0.00066,-3.542,-0.800,-1.413,0.609,-0.883,2.147,1.458,2.405,-0.886,7.75E-04,4.27E-01,1.63E-01,5.45E-01,3.81E-01,3.58E-02,1.50E-01,1.93E-02,3.79E-01,4.93E-03,7.18E-01,6.55E-01,6.79E-01,8.42E-01,2.84E-01,3.47E-01,9.80E-02,5.70E-01
BDNF,69,133,2,1,35,3.424,7.110,6.095,1.164,0.878,1.991,0.631,8.705,312.838,6.427E-02,2.86E-02,1.36E-02,2.81E-01,3.49E-01,1.58E-01,4.27E-01,3.17E-03,2.45E-46,9.91E-02,2.44E-01,3.20E-02,6.68E-01,5.38E-01,2.71E-01,5.64E-01,1.96E-02,1.60E-45,69,133,1,1,35,60,29,-5.6101,-0.2369,-0.3545,-0.0116,0.2247,0.3926,0.0129,0.0940,0.0029,3.70647,0.17987,0.16633,0.00573,0.25454,0.51214,0.01120,0.14468,0.00119,-1.514,-1.317,-2.131,-2.020,0.883,0.767,1.154,0.650,2.413,1.35E-01,1.93E-01,3.72E-02,4.79E-02,3.81E-01,4.46E-01,2.53E-01,5.18E-01,1.89E-02,2.06E-01,5.99E-01,3.35E-01,1.11E-01,8.42E-01,6.79E-01,4.10E-01,6.85E-01,1.16E-01
CACNA1A,69,133,2,1,35,0.070,0.259,13.395,1.061,0.000,4.125,2.952,1.926,257.409,7.918E-01,8.79E-01,2.52E-04,3.03E-01,9.82E-01,4.22E-02,8.58E-02,1.65E-01,1.09E-35,8.45E-01,9.03E-01,1.00E-03,6.68E-01,9.82E-01,1.23E-01,2.03E-01,3.03E-01,4.19E-35,69,133,1,1,35,60,29,0.2709,-0.0171,-0.0223,-0.0058,-0.0724,0.0032,0.0063,-0.0687,0.0005,1.25460,0.06105,0.05629,0.00195,0.08589,0.17343,0.00379,0.04890,0.00040,0.216,-0.281,-0.397,-2.994,-0.843,0.018,1.662,-1.405,1.135,8.30E-01,7.80E-01,6.93E-01,4.00E-03,4.03E-01,9.86E-01,1.02E-01,1.65E-01,2.61E-01,8.86E-01,9.33E-01,8.81E-01,1.48E-02,8.44E-01,9.86E-01,2.83E-01,3.81E-01,4.50E-01
CACNA1B,69,133,2,1,35,15.376,3.124,5.606,5.689,4.908,7.338,2.444,1.004,210.463,8.809E-05,2.10E-01,1.79E-02,1.71E-02,2.67E-02,6.75E-03,1.18E-01,3.16E-01,6.38E-27,3.91E-04,4.91E-01,4.05E-02,3.45E-01,1.19E-01,6.25E-02,2.47E-01,4.56E-01,1.68E-26,69,133,1,1,35,60,29,-3.5924,0.0788,0.0261,-0.0034,-0.1492,0.2806,0.0075,0.0558,0.0003,1.11991,0.05459,0.05024,0.00174,0.07646,0.15485,0.00337,0.04359,0.00036,-3.208,1.443,0.519,-1.937,-1.951,1.812,2.216,1.279,0.820,2.15E-03,1.54E-01,6.06E-01,5.75E-02,5.57E-02,7.50E-02,3.05E-02,2.06E-01,4.16E-01,8.22E-03,5.99E-01,8.66E-01,1.30E-01,8.42E-01,3.25E-01,2.24E-01,4.31E-01,5.98E-01
