"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.570161189553917,0.920975434295049,0.3525127717977,0.910987621064193,13688,13,"AKT3,TYMP,SLC25A36,POLG2,SLC25A4,TP53,MEF2A,OPA1,LIG3"
"2","GOBP_REPRODUCTION",0.314248251748252,0.80324987234493,-0.213458932703681,-1.03913731803386,10784,808,"HSPA2,SPP1,KLHDC3,CLIC4,COL9A3,RAB3A,CCNE2,CD9,COL16A1,SFRP1,GAL3ST1,SEPTIN4,DUSP1,JAM3,QKI,PLTP,BAK1,DNM2,RAMP2,FOS,JUNB,FGFR2,TAC1,HMGCS1,ARHGDIB,ADIPOR2,TNFSF10,SUN2,SPAG8,VGF,SALL1,PLA2G4C,SOX30,CALR,SEMG1,TSPAN8,HSD17B3,BSG,HSD17B2,TUBGCP3,ZNF35,LDHC,SEPTIN7,SULF1,PRKACA,PTTG2,SLC4A2,PTPRN,CYP7B1,FOXC1,TGFBR2,SRY,DDR1,PRKACB,MLH3,GPX4,NR6A1,SBF1,IGFBP2,RBPJ,BRD2,GAMT,NEK2,CDK16,GCM1,MAS1,TUBGCP4,CRHBP,TCF21,TFEB,PAFAH1B3,GAS2,STK3,AKT1,NPY5R,MAP2K1,FOLR2,BAD,ADAM28,HTRA1,NUMA1,MMP7,FOSL1,IGFBP5,MAPK8IP2,THRA,STAT5B,SOS1,SP3,CNTFR,PHB2,MAPK1,GLI1,PRM1,WASHC5,NPAS1,MLH1,AMH,NPPA,HSD17B4,ALPL,SYDE1,REN,NUP62,NOTCH2,NR0B1,GJA1,METTL3,MDFI,SEPTIN2,SLC38A3,LGR5,TRIM28,NUDT1,ZW10,CDKL2,ADA,OVOL1,MAP2K6,BUB3,WNT4,CDC25B,CTNNA1,H1-1,ATP7A,NTRK1,OXT,MEA1,GLRA1,UBXN8,LRP6,PAPPA,STAG2,CRTAP,TH,HOXA9,DDX3X,IL12B,NR2C2,CCNB2,PYGO1,MTOR,GAPDHS,CCND1,CYLC1,ETV2,ACE,APOB,TTLL1,CACNA1H,PAEP,AVP,TSNAX,IHH,RAD51,PNOC,ARID4A,DHH,CASP8,HOXB13,GIP,PATZ1,PRM2,DLG1,ADGRG2,AXL,CBX2,AMHR2,PTCH1,PIWIL1,SRC,PSME4,AGFG1,PDGFRA,DDX6,GATA2,SRD5A2,ITGA2,CENPI,GLRB,KITLG,CXADR"
"3","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.454557780087676,0.882476127239838,0.270294801295244,0.99419431440061,10057,59,"BCL6,MSH3,ZNF365,SMCHD1,TFRC"
"4","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.75474537037037,0.976339155316876,-0.312734916014471,-0.769019456088572,19562,12,"RPL38,NOP2"
"5","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.334534356322326,0.820051981061689,0.378866261241178,1.09440334059943,7891,20,"ACSL6,ELOVL2,ACOX1,ABCD3,HACD2,ABCD1"
"6","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0551396231770926,0.496949099936717,-0.37196773215421,-1.36757155862726,1553,73,"TF,SLC31A2,DNM2,RAB11B,SLC30A3,SLC39A7,ATP6V1G2,ASIC3,ATP6V0D1,ATP6V1E1,B2M,ATP6V0C"
"7","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.495423740655348,0.897515839413807,-0.256246146854458,-0.977884164051636,14181,90,"DUSP1,SLF2,PTTG2,KIF22,TTN,NEK2,AKAP8L,CENPF,CDT1,NUMA1,NSL1,CHMP7,ANAPC5,ANAPC15,KATNB1,KNTC1,NUP62,ZW10,BUB3"
"8","GOBP_CELL_CYCLE_CHECKPOINT",0.999516574585635,1,-0.144008961682588,-0.576438790165357,28945,124,"DUSP1,PCBP4,CNOT3,SOX4,CENPF,CDT1,RPA2,THOC1,MDC1,BTG2,ANAPC15,RAD17,KNTC1,TAOK3,ZW10,BUB3,BCL2L1,PLK2,CCND1"
"9","GOBP_DNA_REPLICATION_CHECKPOINT",0.92717130239405,1,-0.2482454704031,-0.595825621792212,23933,11,"CDT1,RAD17,DNA2,CDC45,TIMELESS,NAE1"
"10","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.265006936372839,0.770062143628677,-0.385847853523318,-1.15635957993677,7067,27,"CDK18,TYMS,CDK5,CDK16,CDT1"
