"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.922268017410731,0.999838709677419,0.238063173514919,0.621931011631496,23942,13,"SLC25A36,MEF2A,POLG2,DNA2,SLC25A4,TP53,LIG3"
"2","GOBP_REPRODUCTION",0.688697647733792,0.967015840864037,0.183717522859148,0.946345825641106,24007,808,"MAFF,BCL6,ADM,H3-3B,SMURF2,CEBPB,DDX3Y,YBX3,ENDOU,LARP7,INHBB,KRT19,RAB13,RGS2,ZNF148,SOX9,TIPARP,FOS,MERTK,HERC4,HSPA5,OR2H2,PTN,TRPC6,CADM1,RPS6,DACH1,IGFBP7,ZFP36L1,ZBTB16,HMGB2,JUNB,OVGP1,RNF114,TMF1,STK4,CD46,SERPINE2,NRIP1,SRPK1,USP9Y,EDNRB,HTRA1,SPA17,CYLC2,FBXW11,TSNAX,TCP1,KDM3A,ADAM28,MSH3,ACOX1,PDE3A,CENPC,SAFB2,FOSB,MSX1,NCOA4,C1QBP,ING2,DDO,CCN1,HIF1A,VDAC2,SIAH1,BMP7,TIMP1,ADAM2,TIMP4,UBAP2L,KDM5A,PCSK5,EPPIN,BIRC2,SEPTIN2,MBD2,TMED2,BMPR2,ADCY10,RAD51B,CCR6,MFGE8,NSDHL,GATA6,UBR2,EIF2S2,ADAM18,SPAG1,AXL,MAPK1,HSF2,POU4F2,SMAD1,TLR3,UBE2A,DZIP1,BBS4,HES1,LHFPL2,TESK1,SDC1,H2AX,CEP131,BMP6,TOP2B,CCNB1,LEPR,RAD51C,RRM1,EGFR,RLN1,WFDC2,HUS1,STX2,PPAT,PSMC3IP,SUN1,TFAP2C,KIT,IL4R,PHB2,HFE,CREM,MDFI,SYNE1,IFT20,PLA2G10,RHOBTB3,PLK4,DIAPH2"
"3","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.907100849488129,0.999838709677419,0.197569509790959,0.736676412768526,24986,59,"BCL6,TFRC,MSH3,CD28,HMCES,KDM1A,CHEK1,PAXIP1,IL4,RIF1,H1-10,SMCHD1,ACTR2,MSH6,NSD2"
"4","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.114071381617107,0.662167645969475,0.540993571683706,1.38075294445978,2949,12,"RPL11,RPL3,RPL3L,DDX28,BOP1,NOP2,DHX30"
"5","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.0195944406470722,0.352487352223484,0.561221434711678,1.64244446335771,515,20,"ELOVL2,ACSL6,ELOVL6,ACOX1,SLC27A2,ABCD3,ACOT1,PEX2,ABCD2,HACD2,CYP4F2,ABCD1,ACSBG1"
"6","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.410032989099254,0.879451371503415,0.263866828275311,1.02255294945637,11434,73,"TFRC,B2M,FTH1,TRPC6,ATP6V1B1,TCN2,ATP6V1H,HEPH,ATP6V1G2,SLC30A1,NECTIN1,CP,ATP6V0E1,SLC39A14,HRG,ABCB7,HFE,SLC30A9,ATP6V0D1,ATP6V0A2,ATP2C2,MT3,CBLIF"
"7","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.911528396308709,0.999838709677419,-0.185655564315985,-0.777323998670572,19853,90,"PIBF1,CENPF,NUMA1,POGZ,SLF2,TTN,KPNB1,SMC2,TPR,NSL1,RAB11A,ANAPC5,VPS4B,TRIP13,NEK2,EML3,KNTC1,ANAPC15,KIFC1,DUSP1,PTTG2,NCAPH,TUBG1,CHMP7,MAD1L1,HNRNPU"
"8","GOBP_CELL_CYCLE_CHECKPOINT",0.700586133943745,0.969416327271642,0.210784884206612,0.892487529914748,20199,124,"CDKN1A,GADD45A,PRPF19,CRY1,NDC80,TRIAP1,BTG2,MAD2L1BP,CNOT1,FOXN3,CDKN1B,CNOT4,IK,RAD9A,SOX11,CHEK1,H2AX,SYF2,CCNB1,HUS1"
"9","GOBP_DNA_REPLICATION_CHECKPOINT",0.742302336376296,0.980668308499553,0.31423874180219,0.78265233877876,19189,11,"RAD9A,HUS1,CDC6,DNA2,NAE1,TIMELESS"
"10","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.0714408159766864,0.577664400735432,-0.433527972856358,-1.40885900371891,1666,27,"CDK18,TYMS,RRM2,CDK16,ZPR1,BRD4,CDK14,CCNA1"
