"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.398097087378641,0.828961315305748,0.398339947059356,1.04863161046811,10250,13,"MEF2A,AKT3,SLC25A36,TP53,PARP1"
"2","GOBP_REPRODUCTION",0.0862169275522926,0.520732829465625,0.21855780347731,1.13660987892032,3111,808,"FOS,MAFF,CCN1,HMGB2,ZFP36L1,BCL6,YBX3,NUPR1,TIMP1,RAB13,CD46,MSH3,JUNB,RHOBTB3,H3-3B,SYNE1,HERC4,HEXB,MYH9,SUN1,STS,RAD1,SMURF2,AKR1C3,SERPINE2,RPS6KB1,SRPK1,PRKACB,MAPK1,CENPC,WNT5A,NR2F2,RNF114,HSPA5,NASP,LARP7,UBAP2L,YTHDC2,HESX1,UBE2J1,HAS2,GRB2,CCNE2,STAT3,SLC26A3,FANCL,KDM5A,LEF1,FZD5,SEPTIN2,IGFBP7,DUSP1,SMC1A,ETV6,FBXW11,CEBPB,ENDOU,RGS2,RAD51C,BNC1,FOSB,STC1,TAF4,PTK2,H2AX,TUT4,RAD21,MFGE8,TGFBR2,ADAM21,SMARCA2,PRKAR1A,SMAD1,DZIP1,PTN,EREG,CTNNA1,ATM,CADM1,ZMIZ1,RPS6,FGF9,POU4F2,RRM1,FOXA1,ZFX,PGAM2,ADM,IFT20,NIPBL,NPR2,FOXF2,NECTIN3,ACOX1,LRRC6,HDAC2,CRIP1,OSGIN2,NR0B1,SPAG1,CELF1,HIF1A,TIPARP,LHFPL2,SYCP1,AGO2,PPAT,DLD,DDR1,GABRB1,HDAC4,CLGN,SAFB2,TRPC3,TMF1,FSHB,BAK1,DYNLL1,YY1,PTAFR,TBPL1,PLA2G10,FOLR3,TCF21,DDX3X,CREM,NCOA4,ADCY7,SALL1,VPS13A,CASP3,CIB1,IL4R,OVGP1,HSPA1L,TLR3,TCFL5,MBD2,FAM50A,PTX3,IL10,TSPAN8,ZNF318,ARID5B,FANCG,SMAD4,BASP1,ADAM28,NPPA,CXADR,ACSL4,ASB1,INPP5B,ITGB8,RAD51B,ARNTL,UBE2A,CENPX,VEGFA"
"3","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.849962247869701,0.981197923658705,0.208092934981878,0.781326481115148,23639,59,"BCL6,MSH3,SMCHD1,TFRC,H1-2,SPIDR,PAXIP1,IL10"
"4","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.365753311939439,0.809078734275253,-0.409545644420111,-1.07576564186179,8889,12,"NLE1,NOP2,DHX30"
"5","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.015501809179204,0.249882165092576,0.559912862821956,1.65502740171001,406,20,"HACD2,ELOVL6,ACSL6,ABCD3,ACSL1,ACOX1,ELOVL2,ACSBG1"
"6","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.387289341966295,0.823859273223855,-0.251967158675436,-1.03128313887815,8433,73,"TF,TCN1,RAB11B,SLC30A3,FKBP4,ATP6V1E1,SLC6A9,HRG,LMTK2,ATP6V0C,ATP6V0A1,SLC31A2,CLTC,TRPM2,DNM2,SLC31A1,NECTIN1,IFNG,ASIC3,MELTF,SLC11A1,ISCU,ATP6V1B2,SLC39A7,CP,ABCB6,CBLIF"
"7","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.948809026326786,0.99592717781105,0.178460296277134,0.724954607241993,27245,90,"CENPC,CHMP2B,DUSP1,SMC1A,RAD21,PDS5A,ATM,MAD2L1,NIPBL,TENT4A,CHMP1A,CDC27,CDC23,ZWINT,TTN,APC,KIF14,KPNB1,TTK,UBE2C,SMC5,CDC6,RB1,CDT1,NCAPD3"
"8","GOBP_CELL_CYCLE_CHECKPOINT",0.375941130378496,0.818389081103485,0.242510189175107,1.03732114721273,11034,124,"BTG2,CDC14B,CDKN1A,RAD1,CUL4A,DUSP1,GADD45A,SFN,RBL2,BRCA1,H2AX,PLAGL1,ATM,MAD2L1,CDKN1B,TOPBP1,EP300,ZWINT,RAD9A,SOX4,SYF2,ARID3A,TIPRL,APC,ATF2"
"9","GOBP_DNA_REPLICATION_CHECKPOINT",0.354955586722768,0.801310203342222,0.43377643209695,1.090159742889,9110,11,"TOPBP1,RAD9A,CDC6,CDT1"
"10","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.415217205038129,0.840244838494853,-0.31235477727978,-1.02599092923889,9691,27,"TYMS,CDK18,CDK5,BRD4,E2F4,RRM2,KLF11"
