"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.800869871870225,0.860294441123232,0.260600813406548,0.761863114149216,20438,21,"SLC25A4,AKT3,MEF2A,SLC25A36,PRIMPOL,OPA1,LONP1"
"2","GOBP_SINGLE_STRAND_BREAK_REPAIR",0.285414903478016,0.450846388610486,0.469547264415278,1.15734642503035,7081,11,"LIG4,SIRT1,ERCC6,APTX,PARP1,TERF2,APLF,TDP1,ERCC8,XRCC1,TNP1"
"3","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.106365546966836,0.23659865104755,0.312156786773253,1.25410500300056,2985,99,"KPNA2,PAXIP1,ZNF365,FIGNL1,MSH2,NDFIP1,SPIDR,PPP4R2,SMARCAD1,HMCES,MSH6,SHLD3,MMS19,RPA2,UBE2B,H1-0,ACTR2,MAGEF1,KPNA1,SETD2,KMT5B,KLHL15,TERF2IP,RAD51AP1,MLH1,RIF1,EXOSC6,RAD50,EXOSC3"
"4","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.66060558763852,0.76264146045926,0.290214510639654,0.858325188805957,16929,22,"RSL24D1,RPL5,MDN1,MRPL20,FASTKD2,RPL3,RPF2,NLE1"
"5","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",0.981164451893531,0.985276268238172,-0.197797950635646,-0.516868657782149,24586,13,"RPS14,RPS19,ABT1,RPL38"
"6","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.176156286525296,0.331132246980765,-0.373830856714825,-1.23182347177907,4219,31,"ACSBG1,CYP4F12,ACOX2,ABCD1,ELOVL5,ELOVL2"
"7","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0407013590592212,0.1269451275146,0.326130390863423,1.35023423186396,1155,121,"ATP6V1A,ATP6V1B2,STEAP2,HAMP,ATP6V1G2,ATP6V1H,SLC39A10,ATP6V1C1,TMEM163,LCN2,ATP6AP1,ATP6V1D,CLTC,ISCU,ATP6V0B,ATP6V0D1,ATP6V1E1,SLC30A9,SLC39A14,TRPC1,CUTC,PGRMC2,TF,SLC22A17,ATP2C1,LMTK2,ATP6V0C"
"8","GOBP_UREA_CYCLE",0.838937631505816,0.886658190316945,-0.283892767347775,-0.70685501218428,21131,11,"NAGS,ARG1"
"9","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.000240252608456892,0.0030623256261374,0.406181597484827,1.74868305499226,6,159,"PDS5B,RAN,SMC2,SEH1L,PRC1,DYNC1LI1,CHMP5,RAB11A,ZWINT,TRIP13,CUL3,CHMP2B,TENT4A,ATRX,CCNB1,CDC27,RIOK2,PCID2,BECN1,PSRC1,TUBG1,BUB3,NAA50,CHAMP1,MAD2L1BP,NUDC,CENPK,SPAG5,ANAPC5,HECW2,LCMT1,MIS12,RAD21,ZW10,KPNB1,PDS5A,RB1,KNSTRN,PIBF1,VPS4B,DSN1,KIF25,TNKS,MACROH2A1,PHF13,NEK6,PSMG2,MAD2L1,TEX14,RACGAP1,NCAPG2,SPDL1,TPR,TUBG2,SGO1,ANAPC7,NUP62,AKAP8"
"10","GOBP_CELL_CYCLE_CHECKPOINT",0.137611275964392,0.281667380464376,0.264519351565108,1.17415796621814,4080,201,"PLK2,ZWILCH,MSH2,DYNC1LI1,ZWINT,CLOCK,NSUN2,TRIP13,ATF2,BRCC3,CCNB1,NAE1,BABAM1,PRKDC,PLAGL1,PRCC,FEM1B,PCID2,WAC,BUB3,CNOT7,RPA2,ATR,CRY1,RAD17,MAD2L1BP,TIPIN,LCMT1,UIMC1,EIF2AK4,CNOT8,TOPBP1,NABP1,ZW10,TAOK1,PCNA,CDKN1B,CNOT11,ETAA1,CDC5L,INTS7,FBXO31,PSMG2,MAD2L1,RHNO1,PRPF19,TEX14,CNOT6,CNOT2,SPDL1"
"11","GOBP_DNA_REPLICATION_CHECKPOINT",0.66323512010413,0.765076502258233,0.307792711265686,0.853323874065862,16814,17,"NAE1,RAD17,TIPIN,TOPBP1"
"12","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.153816618031024,0.304261792968286,0.392401880636249,1.26536033524608,4005,32,"CDK17,CDK18,CDK14,ZPR1,CDK5,RB1,PCNA,TYMS,NPAT,HINFP,CCNA1,CDC6,CCNE1,CDC45,FBXO5,ID2,TFDP1"
"13","GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.889701917892629,0.9226508241269,0.22149454982099,0.704409418018366,23101,30,"GCLC,ENOPH1,ADO,CDO1,GCLM,BLMH,MTHFD2L,MTRR,AHCY"
"14","GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.789600288658141,0.8522728185594,0.291855225933451,0.753062427464351,19694,13,"ENOPH1,CDO1,MTHFD2L,MTRR"
"15","GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.893926570749204,0.924299028738892,0.262910623887962,0.648025648787764,22180,11,"ADO,CDO1,BLMH,MTRR"
"16","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",0.713490864129688,0.798783311557468,-0.179082918760325,-0.954254115219977,10386,839,"TXNIP,FOXC1,ID1,HES1,EDNRB,KLF10,BTG2,EGR1,MSX1,SOX2,SOX9,ZNF205,ETV5,KLF4,DLL4,FOXF1,KLF2,FOXC2,NACC1,ID3,CAV1,OLIG2,KANK2,LILRB4,GLI3,TBX15,BMP6,ASCL1,OSR1,MSC,EPO,NR1H3,TWIST1,FBP1,ID4,KCNIP3,ZBTB32,ZBTB20,TBX2,KMT5A,SOX18,MDFI,HIC1,ZFPM1,NR1H2,FOXQ1,RORC,MAFK,USP3,NOTCH1,SORBS3,ZFP36,DLX4,PDX1,SIX1,NOTCH2,PRDM12,HES7,BCL6B,LEF1,HES5,EZR,RARG,ZNF266,DAB2,YAP1,CREB3L1,PAX6,ALX1,TFCP2L1,SLA2,ZNF296,FOSB,ZBTB42,ELANE,AASS,SUFU,DNAJC17,BMP4,MTA2,ETV7,RARA,BARX2,HESX1,PDGFB,PPARA,NPAS1,LMCD1,TMBIM6,BEND3,NFATC4,SPDEF,NEDD4,SPI1,BACH2,RREB1,WWC3,HDAC10,YBX3,PRDM6,GATA1,ERF,NR0B2,FGFR2,TRPS1,SOX13,NEUROG3,ZNF669,ZBTB7B,CRY2,TGIF1,CCND1,SMO,GATA6,NR4A2,TCF3,HEYL,NCOR2,WWOX,HOXB4,TLE6,ZNF556,TBXT,WWC1,TBX6,CBX2,CIITA,TBX3,ATN1,EHMT1,NFIC,CELA1,PTCH1,E4F1,TBX20,ZNF136,REST,ZNF425,HOXA7,TP53,NR4A3,CC2D1A,FOXJ1,SCRT1,NR2E1,HCFC1,TCFL5,FOXP3,GLI2,TBL1X,FOXS1,ZBED6,OTUD7B,BRMS1,OSR2,NRARP,PHB,NKX6-3,EHMT2,TFAP2B,PRDM1,HDAC5,TRIB3,RPS14,SHH,ZBTB12,PER1,PAX5,HSF4,SUV39H1,WFS1,HES2,MYC,CBX8,TP63,OVOL2,HDAC1,ZBED2,ZFHX3,STAT3,PARP15,VDR,CTNNBIP1,PRDM14,ZGLP1,SOX3,ETS2,ZNF749,ZNF491,NSD1,GSC,KLF16,RUNX1,LOXL2,PRDM16,NOC2L,THRA,NR1D1,NKX2-5,IRX1,PER2,MIER2,ZNF846,WDTC1,NKX6-1,USP2,SP5,ATF3,GFI1B,SRY,DRAP1,IL4,RXRA,ACVR2B,KAT5,LEP,ZNF668,FOXH1,PEX2,RUNX3,NR0B1"
"17","GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION",0.887938706806485,0.921488362245858,0.22523181764982,0.69971856100184,22946,27,"PAFAH1B1,DCTN1,NDEL1,ZW10,MAD2L1,SPDL1,FBXW11"
"18","GOBP_RRNA_MODIFICATION",0.0716488369436936,0.183316556672212,0.416337153509137,1.39531417752846,1881,38,"BMT2,THUMPD1,TFB2M,METTL5,RPUSD4,TRMT112,FTSJ3,MRM3,FBLL1,DKC1,NAF1,RPUSD2,TRMT61B,MRM2,METTL15,GAR1,NSUN5"
"19","GOBP_MAPK_CASCADE",0.0586088154269972,0.159902889046802,-0.21102669415873,-1.12486770494265,850,843,"GPNMB,DUSP1,SFRP2,ACKR3,GPR37L1,GADD45G,GBP1,TIMP3,CXCR4,SOX2,BMP7,ZFP36L1,CCL19,DUSP4,SOX9,KLF4,FOXO1,PLA2G5,CCN1,APOE,FGFR3,ADRA2C,CAV1,FCGR2B,DUSP6,FGF8,CCN2,LILRB4,WNT7B,ADORA2B,PDGFRA,SPRED3,EPHB1,TAB1,LBH,RRAS,IL34,CIB1,AGT,GNAI2,CBLC,GADD45B,EPO,KDR,PDGFRB,AVP,HYAL2,HAND2,NDRG2,TRIB1,DUSP5,TPD52L1,SERPINF2,BIRC7,DAG1,MID1,NOTCH1,PRKD2,SORBS3,ZFP36,ARHGEF5,MARCO,ALOX15,FERMT2,ZFP36L2,C1QTNF1,RASGRP1,FN1,EDN3,NOTCH2,CAV2,IRAK3,DUSP9,INS,P2RY1,CCL2,ERN2,CD27,SASH1,EZR,PSCA,EGFR,SPRY4,CCL13,MECOM,CCL21,MT3,MLKL,TRAF2,NPPA,RASAL3,WDR83,AVPR1B,GRM4,PDGFD,MYOC,S1PR2,PSMB8,TLR4,FLT3LG,ELANE,CFLAR,IGFBP6,MAP2K7,LRP1,TGFB3,BMP4,MAPK4,ITPKB,NTF3,GDF15,FGF3,NTRK2,TP73,DUSP16,AGER,HESX1,ABL1,PDGFB,FGF22,MAPKAPK3,DUSP2,LEMD2,IL3RA,SPI1,CD81,IL3,HCRTR1,FLT4,FGFR2,DLG4,FBLN1,EMC10,PAGE4,TBC1D10C,FGF18,SCIMP,MAP3K6,FGF21,MAPK15,SYNGAP1,CARD9,PSMB9,SSTR4,NPHS1,CD40,MAPK8IP3,ADRB2,FGF23,ADRA1B,IL6,SHC1,CCL4,CCL17,WWC1,CCL1,PROK1,DVL2,GPR55,ABCA7,DUSP15"
